id_cafes_bebidas;cafeteria_id;bebida_id;precio;categoria
259;52;73;18;medio
260;52;142;11,8;medio
261;53;76;21,1;caro
262;53;13;24,5;caro
263;53;196;28,6;caro
264;53;174;27,8;caro
265;53;220;28,1;caro
266;54;42;10;barato
267;54;177;9,5;barato
268;54;72;8,8;barato
269;54;9;8,2;barato
270;54;228;5,4;barato
271;55;14;23,4;caro
272;55;53;25,6;caro
273;55;158;25,4;caro
274;55;52;26,2;caro
275;55;77;25;caro
276;56;181;7,7;barato
277;56;13;5,3;barato
278;56;99;8,3;barato
279;56;236;5,3;barato
280;56;76;7,9;barato
281;57;207;5,8;barato
282;57;214;8,4;barato
283;57;160;6,4;barato
284;57;159;10;barato
285;57;204;7,9;barato
286;58;121;24,3;caro
287;58;163;23,7;caro
288;58;127;24;caro
289;58;209;20,4;caro
290;58;216;24,3;caro
291;59;195;8,4;barato
292;59;98;9,9;barato
293;59;184;5,5;barato
294;59;31;6,5;barato
295;59;107;9,2;barato
296;60;107;7,7;barato
297;60;205;6;barato
298;60;97;6,4;barato
299;60;60;8,8;barato
300;60;55;9,6;barato
301;61;49;26;caro
302;61;7;24,7;caro
303;61;219;22,7;caro
304;61;137;21,8;caro
305;61;125;25,9;caro
306;62;84;8,9;barato
307;62;36;8,4;barato
308;62;82;5,3;barato
309;62;118;8,2;barato
310;62;229;6,5;barato
311;63;21;6;barato
312;63;27;5,5;barato
313;63;236;8,4;barato
314;63;48;9;barato
315;63;188;5,6;barato
316;64;101;22;caro
317;64;73;21,1;caro
318;64;233;23,7;caro
319;64;103;27;caro
320;64;9;26,7;caro
321;65;54;16,7;medio
322;65;156;16,6;medio
323;65;59;13,8;medio
324;65;51;13;medio
325;65;72;11,8;medio
326;66;33;5,2;barato
327;66;233;5,5;barato
328;66;37;6,6;barato
329;66;205;8,8;barato
330;66;142;6,4;barato
331;67;87;18,8;medio
332;67;55;14,1;medio
333;67;134;18,2;medio
334;67;185;20;medio
335;67;33;19,2;medio
336;68;187;18,4;medio
337;68;107;13,1;medio
338;68;34;15,2;medio
339;68;164;18,6;medio
340;68;85;14,4;medio
341;69;76;25,2;caro
342;69;200;23,9;caro
343;69;224;20,1;caro
344;69;40;24,2;caro
345;69;113;21;caro
346;70;6;29,6;caro
347;70;199;26,8;caro
348;70;232;24,1;caro
349;70;170;25,9;caro
350;70;5;20,3;caro
351;71;68;6,7;barato
352;71;62;9;barato
353;71;145;7,5;barato
354;71;112;7,3;barato
355;71;137;8,6;barato
356;72;224;15;medio
357;72;219;13,3;medio
358;72;205;14,9;medio
359;72;83;15,9;medio
360;72;116;18,3;medio
361;73;19;7,3;barato
362;73;96;9,2;barato
363;73;202;8,7;barato
364;73;44;6,1;barato
365;73;70;9,9;barato
366;74;56;15,2;medio
367;74;191;13,6;medio
368;74;35;18,5;medio
369;74;3;13,3;medio
370;74;60;11;medio
371;75;7;7,7;barato
372;75;143;6,2;barato
373;75;139;6,9;barato
374;75;223;9,6;barato
375;75;192;10;barato
376;76;37;8,8;barato
377;76;202;7,1;barato
378;76;96;5;barato
379;76;126;9,1;barato
380;76;46;9,9;barato
381;77;81;17,9;medio
382;77;97;19,1;medio
383;77;207;15,8;medio
384;77;219;13,6;medio
385;77;32;12,5;medio
386;78;73;29,4;caro
387;78;41;21,7;caro
388;78;29;23,4;caro
389;78;144;21,9;caro
390;78;232;29,1;caro
391;79;190;15,7;medio
392;79;52;19,5;medio
393;79;14;13,7;medio
394;79;233;14,6;medio
395;79;165;16,7;medio
396;80;228;18;medio
397;80;89;19,4;medio
398;80;38;12,7;medio
399;80;17;18,7;medio
400;80;21;12,4;medio
401;81;27;19,1;medio
402;81;148;13,9;medio
403;81;205;14,6;medio
404;81;237;16,6;medio
405;81;206;13,4;medio
406;82;193;6,2;barato
407;82;89;7,2;barato
408;82;231;9,9;barato
409;82;221;8,7;barato
410;82;135;5,4;barato
411;83;64;13,1;medio
412;83;219;17,3;medio
413;83;208;18,3;medio
414;83;231;17,9;medio
415;83;39;14,6;medio
416;84;170;25,9;caro
417;84;70;27,8;caro
418;84;66;24,8;caro
419;84;149;26,6;caro
420;84;212;20,2;caro
421;85;226;6,7;barato
422;85;225;6,2;barato
423;85;54;6,9;barato
424;85;34;6,8;barato
425;85;153;5,6;barato
426;86;74;27,2;caro
427;86;192;27,7;caro
428;86;43;26;caro
429;86;76;27;caro
430;86;55;28,6;caro
431;87;135;7,1;barato
432;87;99;8,3;barato
433;87;143;9,2;barato
434;87;147;5,7;barato
435;87;202;8,8;barato
436;88;233;23,8;caro
437;88;178;23,2;caro
438;88;221;25,3;caro
439;88;126;25,5;caro
440;88;6;20,9;caro
441;89;83;21,9;caro
442;89;220;21,3;caro
443;89;62;20,6;caro
444;89;52;22,8;caro
445;89;57;27,7;caro
446;90;205;17,2;medio
447;90;65;16,5;medio
448;90;226;17,9;medio
449;90;60;17,7;medio
450;90;41;18,9;medio
451;91;3;8;barato
452;91;52;6,4;barato
453;91;138;5,2;barato
454;91;154;6,8;barato
455;91;8;9,8;barato
456;92;159;19;medio
457;92;40;13,9;medio
458;92;168;18,3;medio
459;92;105;13,2;medio
460;92;49;11,3;medio
461;93;230;5,7;barato
462;93;95;8,2;barato
463;93;165;7,8;barato
464;93;15;6,5;barato
465;93;146;6,9;barato
466;94;203;16,2;medio
467;94;123;12,5;medio
468;94;57;15,6;medio
469;94;94;16,8;medio
470;94;3;18,3;medio
471;95;234;16,9;medio
472;95;229;17,2;medio
473;95;81;19;medio
474;95;199;14,1;medio
475;95;216;18,4;medio
476;96;138;13,1;medio
477;96;150;19,4;medio
478;96;158;15;medio
479;96;47;13,9;medio
480;96;153;13,8;medio
481;97;120;25,5;caro
482;97;38;25,7;caro
483;97;76;20,7;caro
484;97;94;27,5;caro
485;97;228;26,8;caro
486;98;7;17,1;medio
487;98;34;13,1;medio
488;98;118;18,9;medio
489;98;174;13,9;medio
490;98;226;16,4;medio
491;99;81;7,5;barato
492;99;133;5,1;barato
493;99;206;9,9;barato
494;99;69;5,2;barato
495;99;230;9,8;barato
496;100;112;19,1;medio
497;100;16;16,7;medio
498;100;42;18,1;medio
499;100;108;13,8;medio
500;100;88;12,4;medio
501;101;142;8,5;barato
502;101;119;5,6;barato
503;101;233;5,1;barato
504;101;235;7,7;barato
505;101;78;7,4;barato
506;102;99;26,6;caro
507;102;232;28,2;caro
508;102;56;24,8;caro
509;102;119;26,1;caro
510;102;183;22,3;caro
511;103;140;17,6;medio
512;103;51;17,9;medio
513;103;144;13,5;medio
514;103;107;19,3;medio
515;103;60;11,7;medio
516;104;197;7,6;barato
517;104;56;7,4;barato
518;104;88;7,6;barato
519;104;177;9,1;barato
520;104;68;9,8;barato
521;105;158;24,5;caro
522;105;83;23,8;caro
523;105;92;26,6;caro
524;105;7;27,5;caro
525;105;171;25,4;caro
526;106;162;14,3;medio
527;106;203;13,4;medio
528;106;229;18,9;medio
529;106;230;13,9;medio
530;106;160;18;medio
531;107;110;9,5;barato
532;107;215;9,9;barato
533;107;186;6,6;barato
534;107;86;7,8;barato
535;107;123;7,4;barato
536;108;75;17,4;medio
537;108;83;11,2;medio
538;108;228;15,1;medio
539;108;108;16;medio
540;108;138;15,1;medio
541;109;215;18,3;medio
542;109;108;13,3;medio
543;109;132;16,7;medio
544;109;131;12,7;medio
545;109;182;12,6;medio
546;110;133;24,1;caro
547;110;12;26,3;caro
548;110;214;28,6;caro
549;110;149;20,7;caro
550;110;13;25,2;caro
551;111;225;5,3;barato
552;111;3;9;barato
553;111;27;5,2;barato
554;111;231;6,3;barato
555;111;226;7,3;barato
556;112;187;25,8;caro
557;112;188;22,4;caro
558;112;160;25,1;caro
559;112;104;22,6;caro
560;112;171;24,9;caro
561;113;101;7,3;barato
562;113;44;5,3;barato
563;113;68;8,2;barato
564;113;67;7;barato
565;113;96;6,7;barato
566;114;228;7,4;barato
567;114;231;8,1;barato
568;114;161;8,8;barato
569;114;218;7;barato
570;114;157;8,5;barato
571;115;173;22,7;caro
572;115;140;22,5;caro
573;115;109;21,7;caro
574;115;49;27,1;caro
575;115;232;22,6;caro
576;116;142;18,2;medio
577;116;41;18,1;medio
578;116;152;12,8;medio
579;116;9;14,3;medio
580;116;112;17,7;medio
581;117;138;23;caro
582;117;99;21,9;caro
583;117;69;28,7;caro
584;117;170;24,4;caro
585;117;146;21,8;caro
586;118;160;13,1;medio
587;118;88;11,8;medio
588;118;129;15,6;medio
589;118;87;11,4;medio
590;118;200;15,1;medio
591;119;6;25,6;caro
592;119;158;25;caro
593;119;82;28,1;caro
594;119;22;24,5;caro
595;119;93;29,3;caro
596;120;208;16,9;medio
597;120;23;13;medio
598;120;10;17;medio
599;120;51;12,8;medio
600;120;5;13,3;medio
601;121;180;20,2;caro
602;121;29;22,8;caro
603;121;46;23,4;caro
604;121;107;21,1;caro
605;121;176;28;caro
606;122;46;13;medio
607;122;113;12;medio
608;122;188;15,3;medio
609;122;76;15,6;medio
610;122;122;13,3;medio
611;123;93;14,6;medio
612;123;160;19,3;medio
613;123;135;14,2;medio
614;123;171;17,2;medio
615;123;228;15,6;medio
616;124;151;8,1;barato
617;124;138;8;barato
618;124;123;6,7;barato
619;124;113;7,4;barato
620;124;96;6;barato
621;125;164;29,9;caro
622;125;64;28,6;caro
623;125;236;24,8;caro
624;125;215;24;caro
625;125;237;28,7;caro
626;126;98;20,2;caro
627;126;114;28,6;caro
628;126;3;22,4;caro
629;126;134;26,1;caro
630;126;205;27,3;caro
631;127;48;18,7;medio
632;127;49;17,4;medio
633;127;58;15;medio
634;127;18;12,6;medio
635;127;143;14,9;medio
636;128;215;5,1;barato
637;128;123;9,3;barato
638;128;91;6,5;barato
639;128;137;8,1;barato
640;128;136;7;barato
641;129;235;15,2;medio
642;129;153;16,1;medio
643;129;54;11,3;medio
644;129;49;19,9;medio
645;129;156;17;medio
646;130;17;8,8;barato
647;130;147;9,5;barato
648;130;217;9;barato
649;130;219;8,2;barato
650;130;110;7,4;barato
651;131;61;8,8;barato
652;131;126;7,9;barato
653;131;125;9,5;barato
654;131;196;5,7;barato
655;131;199;7,8;barato
656;132;93;6,2;barato
657;132;32;6,8;barato
658;132;230;7,6;barato
659;132;4;7,5;barato
660;132;185;7,4;barato
661;133;206;22,6;caro
662;133;62;25,5;caro
663;133;20;26,6;caro
664;133;221;29,7;caro
665;133;86;25,7;caro
666;134;233;9,9;barato
667;134;227;6,4;barato
668;134;100;5,6;barato
669;134;39;7,4;barato
670;134;41;6,4;barato
671;135;15;6,1;barato
672;135;39;8,3;barato
673;135;29;9,3;barato
674;135;180;8,8;barato
675;135;205;9,7;barato
676;136;109;6,5;barato
677;136;213;5,4;barato
678;136;223;7,8;barato
679;136;37;8,7;barato
680;136;47;6,6;barato
681;137;72;21,1;caro
682;137;79;29,2;caro
683;137;229;28,6;caro
684;137;47;22,6;caro
685;137;51;21;caro
686;138;213;5,7;barato
687;138;140;9,2;barato
688;138;6;6,5;barato
689;138;153;6,6;barato
690;138;13;8,2;barato
691;139;77;5;barato
692;139;47;8;barato
693;139;33;5,2;barato
694;139;216;6,3;barato
695;139;149;6,2;barato
696;140;76;28,6;caro
697;140;236;27,4;caro
698;140;226;26,7;caro
699;140;115;30;caro
700;140;77;20,7;caro
701;141;177;21,3;caro
702;141;38;26,6;caro
703;141;210;27,3;caro
704;141;154;21,8;caro
705;141;31;22,3;caro
706;142;69;15,3;medio
707;142;101;12,4;medio
708;142;163;19,9;medio
709;142;121;18;medio
710;142;172;12,7;medio
711;143;11;14,6;medio
712;143;216;16,9;medio
713;143;62;15,4;medio
714;143;235;19,1;medio
715;143;39;12,6;medio
716;144;125;9;barato
717;144;9;8;barato
718;144;71;8,2;barato
719;144;33;9,6;barato
720;144;178;8,8;barato
721;145;89;29,6;caro
722;145;51;23;caro
723;145;93;23,4;caro
724;145;67;29,8;caro
725;145;177;27;caro
726;146;228;6;barato
727;146;57;7;barato
728;146;144;9;barato
729;146;147;6,7;barato
730;146;4;9,6;barato
731;147;112;8,6;barato
732;147;97;6,8;barato
733;147;36;8,1;barato
734;147;4;6,5;barato
735;147;124;7,4;barato
736;148;50;20;caro
737;148;127;29,8;caro
738;148;206;24,7;caro
739;148;17;20,8;caro
740;148;233;20,6;caro
741;149;192;24,4;caro
742;149;58;27,4;caro
743;149;70;28,6;caro
744;149;187;23,3;caro
745;149;204;26,9;caro
746;150;23;18,8;medio
747;150;107;12,5;medio
748;150;71;12,6;medio
749;150;146;17,5;medio
750;150;190;11,4;medio
751;151;151;5,8;barato
752;151;188;6,6;barato
753;151;85;9,1;barato
754;151;130;8,4;barato
755;151;213;8,2;barato
756;152;6;8,3;barato
757;152;158;5,3;barato
758;152;217;5,8;barato
759;152;44;8,6;barato
760;152;223;6,5;barato
761;153;116;19,3;medio
762;153;20;19,9;medio
763;153;153;13;medio
764;153;195;18;medio
765;153;125;14,9;medio
766;154;12;29,4;caro
767;154;139;27,4;caro
768;154;145;20,2;caro
769;154;237;30;caro
770;154;221;28,8;caro
771;155;143;24,5;caro
772;155;64;22,8;caro
773;155;108;23,7;caro
774;155;209;23,7;caro
775;155;53;28,4;caro
776;156;184;26,2;caro
777;156;203;20,4;caro
778;156;85;23,6;caro
779;156;117;25,2;caro
780;156;112;28,1;caro
781;157;230;5,2;barato
782;157;16;9;barato
783;157;32;9;barato
784;157;209;6,1;barato
785;157;167;6,8;barato
786;158;9;25,8;caro
787;158;88;20,9;caro
788;158;236;26,8;caro
789;158;121;29,4;caro
790;158;132;22,8;caro
791;159;217;9,9;barato
792;159;106;9,8;barato
793;159;196;7,2;barato
794;159;208;7,4;barato
795;159;175;7,6;barato
796;160;191;22,7;caro
797;160;234;20,2;caro
798;160;156;20,7;caro
799;160;132;26,5;caro
800;160;58;27,8;caro
801;161;100;19,9;medio
802;161;211;15,9;medio
803;161;201;16,6;medio
804;161;90;15,1;medio
805;161;233;16,7;medio
806;162;133;16,8;medio
807;162;68;12,8;medio
808;162;148;13,8;medio
809;162;30;18,3;medio
810;162;13;17,7;medio
811;163;148;6;barato
812;163;238;9,8;barato
813;163;86;9,8;barato
814;163;175;7,3;barato
815;163;39;6,7;barato
816;164;53;25,2;caro
817;164;229;25,7;caro
818;164;150;22,2;caro
819;164;41;21,9;caro
820;164;122;27,7;caro
821;165;86;29;caro
822;165;15;28,7;caro
823;165;31;21,2;caro
824;165;13;22,8;caro
825;165;47;26;caro
826;166;144;22,7;caro
827;166;22;22;caro
828;166;78;24,5;caro
829;166;36;29,5;caro
830;166;24;24,8;caro
831;167;82;6,5;barato
832;167;13;5,2;barato
833;167;96;8,4;barato
834;167;5;7,9;barato
835;167;162;7,6;barato
836;168;82;7,5;barato
837;168;34;6,1;barato
838;168;179;7,5;barato
839;168;2;6,2;barato
840;168;13;7,9;barato
841;169;174;26,5;caro
842;169;181;28;caro
843;169;205;20,7;caro
844;169;134;21,4;caro
845;169;135;20,6;caro
846;170;210;20,1;caro
847;170;21;25,7;caro
848;170;52;29,5;caro
849;170;86;28;caro
850;170;196;24,3;caro
851;171;237;7,6;barato
852;171;136;8,2;barato
853;171;234;6,1;barato
854;171;229;7,7;barato
855;171;227;5,5;barato
856;172;79;17,5;medio
857;172;51;15,5;medio
858;172;5;12,2;medio
859;172;45;16,8;medio
860;172;180;19,6;medio
861;173;93;14,4;medio
862;173;31;12,7;medio
863;173;238;17,8;medio
864;173;51;18,3;medio
865;173;74;11,8;medio
866;174;140;27,4;caro
867;174;176;29,3;caro
868;174;214;25,5;caro
869;174;78;23,6;caro
870;174;68;24,7;caro
871;175;225;26,4;caro
872;175;65;29,1;caro
873;175;155;24,1;caro
874;175;111;26,1;caro
875;175;164;23;caro
876;176;195;7;barato
877;176;218;6,4;barato
878;176;146;6,6;barato
879;176;157;5;barato
880;176;208;9,3;barato
881;177;236;14,1;medio
882;177;109;17,8;medio
883;177;53;11,1;medio
884;177;1;12;medio
885;177;231;16,7;medio
886;178;83;15,3;medio
887;178;220;18,7;medio
888;178;78;15,2;medio
889;178;192;17,3;medio
890;178;25;15,6;medio
891;179;62;27;caro
892;179;124;22,1;caro
893;179;58;25,9;caro
894;179;145;20,5;caro
895;179;174;25,5;caro
896;180;45;7,1;barato
897;180;10;7,3;barato
898;180;233;5,9;barato
899;180;95;9,7;barato
900;180;183;8,2;barato
901;181;17;7,9;barato
902;181;219;7,7;barato
903;181;104;7,4;barato
904;181;90;5,3;barato
905;181;212;7,6;barato
906;182;168;26;caro
907;182;225;29,2;caro
908;182;100;23,2;caro
909;182;189;26,8;caro
910;182;234;25,4;caro
911;183;174;13,2;medio
912;183;6;16;medio
913;183;24;13,5;medio
914;183;222;18,4;medio
915;183;226;17,2;medio
916;184;167;12,7;medio
917;184;80;15,2;medio
918;184;69;14,2;medio
919;184;22;14,9;medio
920;184;207;12,5;medio
921;185;66;21,7;caro
922;185;40;27,4;caro
923;185;26;22,2;caro
924;185;224;25,2;caro
925;185;45;28,6;caro
926;186;67;28,9;caro
927;186;10;23,8;caro
928;186;148;25,8;caro
929;186;27;28,5;caro
930;186;220;27,6;caro
931;187;66;14,4;medio
932;187;72;18,8;medio
933;187;31;16,9;medio
934;187;115;12,2;medio
935;187;173;15,9;medio
936;188;95;5,7;barato
937;188;12;5,9;barato
938;188;202;6,8;barato
939;188;98;5,9;barato
940;188;112;8,7;barato
941;189;126;26,6;caro
942;189;206;23,4;caro
943;189;77;20,4;caro
944;189;13;21,9;caro
945;189;15;26,8;caro
946;190;212;19,6;medio
947;190;48;14,6;medio
948;190;7;16,8;medio
949;190;167;18,9;medio
950;190;65;12,5;medio
951;191;7;21,7;caro
952;191;27;26;caro
953;191;68;27,1;caro
954;191;83;23,8;caro
955;191;105;22,1;caro
956;192;40;14,7;medio
957;192;149;16,8;medio
958;192;153;13,2;medio
959;192;121;13,3;medio
960;192;85;16,4;medio
961;193;72;18,3;medio
962;193;67;17,4;medio
963;193;157;17,8;medio
964;193;71;18,4;medio
965;193;195;17,5;medio
966;194;180;5,6;barato
967;194;137;7,6;barato
968;194;31;7;barato
969;194;94;9;barato
970;194;86;7,8;barato
971;195;39;8,7;barato
972;195;133;5,2;barato
973;195;171;7,3;barato
974;195;99;8,6;barato
975;195;225;9,5;barato
976;196;147;22,9;caro
977;196;12;25,1;caro
978;196;97;26,9;caro
979;196;94;26,5;caro
980;196;196;23,2;caro
981;197;34;17,6;medio
982;197;3;16,4;medio
983;197;61;17,5;medio
984;197;76;13,8;medio
985;197;119;11,3;medio
986;198;117;9,3;barato
987;198;219;8,7;barato
988;198;68;6,2;barato
989;198;156;9,3;barato
990;198;182;9,1;barato
991;199;55;8,8;barato
992;199;175;6,7;barato
993;199;5;9,9;barato
994;199;35;7,1;barato
995;199;103;9,5;barato
996;200;39;26;caro
997;200;224;22,3;caro
998;200;180;20,1;caro
999;200;214;26,4;caro
1000;200;157;25,7;caro
1001;201;194;5,1;barato
1002;201;101;8,7;barato
1003;201;134;6,4;barato
1004;201;22;6,2;barato
1005;201;180;7,7;barato
1006;202;58;26,6;caro
1007;202;27;28,3;caro
1008;202;91;25,7;caro
1009;202;89;27,4;caro
1010;202;46;25;caro
1011;203;21;5,6;barato
1012;203;29;7,5;barato
1013;203;87;7,8;barato
1014;203;95;8;barato
1015;203;58;7,2;barato
1016;204;237;9,2;barato
1017;204;51;7,6;barato
1018;204;15;7,2;barato
1019;204;202;6,6;barato
1020;204;33;5,9;barato
1021;205;144;25,3;caro
1022;205;129;29,7;caro
1023;205;151;26,2;caro
1024;205;119;25,5;caro
1025;205;112;21,1;caro
1026;206;130;5,3;barato
1027;206;201;9,4;barato
1028;206;70;7,3;barato
1029;206;42;6,5;barato
1030;206;11;9,7;barato
1031;207;76;9,7;barato
1032;207;70;8,4;barato
1033;207;139;8,4;barato
1034;207;145;9,3;barato
1035;207;196;9,8;barato
1036;208;161;26,2;caro
1037;208;115;23;caro
1038;208;85;26,3;caro
1039;208;78;28;caro
1040;208;104;22;caro
1041;209;66;28,3;caro
1042;209;194;24,3;caro
1043;209;164;26,7;caro
1044;209;83;28,1;caro
1045;209;172;25,8;caro
1046;210;118;24,4;caro
1047;210;99;23,2;caro
1048;210;78;26,5;caro
1049;210;151;28,8;caro
1050;210;131;23,3;caro
1051;211;94;17,1;medio
1052;211;221;18,6;medio
1053;211;196;13,2;medio
1054;211;218;13,1;medio
1055;211;66;11,9;medio
1056;212;203;27,4;caro
1057;212;235;21,7;caro
1058;212;53;27,2;caro
1059;212;154;28;caro
1060;212;71;27,2;caro
1061;213;166;27,3;caro
1062;213;28;24,6;caro
1063;213;44;23,5;caro
1064;213;170;28,6;caro
1065;213;144;24,1;caro
1066;214;192;5,1;barato
1067;214;159;6,3;barato
1068;214;7;8;barato
1069;214;226;5,3;barato
1070;214;32;9,6;barato
1071;215;227;19;medio
1072;215;170;12;medio
1073;215;135;14,6;medio
1074;215;9;18,1;medio
1075;215;148;11,6;medio
1076;216;142;24,4;caro
1077;216;117;26,7;caro
1078;216;40;27,8;caro
1079;216;202;22,5;caro
1080;216;116;22,8;caro
1081;217;78;12;medio
1082;217;195;13,3;medio
1083;217;57;18,6;medio
