cafeteria_id;pet_friendly;tipo_musica;iluminacion;enchufes;wifi;terraza;estilo_decorativo
93;no;calmada;brillante;no;no;no;moderno
94;sí;alegre;tenue;sí;sí;sí;vintage
95;no;alegre;tenue;no;no;no;vintage
96;no;sin música;tenue;sí;no;sí;vintage
97;no;calmada;cálida;sí;sí;no;artístico
98;sí;alegre;brillante;no;sí;sí;minimalista
99;no;calmada;brillante;sí;no;sí;moderno
100;sí;alegre;tenue;sí;sí;no;moderno
101;sí;alegre;brillante;no;no;no;vintage
102;no;sin música;cálida;sí;no;no;vintage
103;no;sin música;brillante;no;sí;no;moderno
104;no;alegre;tenue;sí;no;sí;rústico
105;sí;calmada;cálida;sí;sí;sí;artístico
106;sí;alegre;tenue;sí;no;sí;artístico
107;sí;sin música;brillante;sí;sí;no;vintage
108;sí;alegre;tenue;no;no;no;vintage
109;sí;calmada;cálida;sí;sí;no;industrial
110;no;calmada;cálida;no;no;no;industrial
111;sí;calmada;cálida;no;no;no;artístico
112;sí;alegre;tenue;no;no;sí;vintage
113;sí;sin música;tenue;sí;no;no;moderno
114;sí;alegre;brillante;sí;no;no;vintage
115;sí;alegre;tenue;sí;no;no;industrial
116;no;sin música;cálida;no;sí;sí;industrial
117;no;sin música;brillante;sí;sí;sí;vintage
118;no;sin música;brillante;sí;sí;no;industrial
119;sí;sin música;cálida;sí;no;sí;vintage
120;no;sin música;cálida;sí;sí;sí;industrial
121;no;calmada;brillante;no;no;sí;moderno
122;sí;sin música;brillante;sí;sí;no;rústico
123;no;calmada;tenue;sí;no;no;moderno
124;sí;calmada;cálida;no;sí;sí;moderno
125;no;sin música;brillante;sí;no;no;vintage
126;sí;alegre;cálida;sí;no;no;minimalista
127;sí;sin música;cálida;sí;sí;no;minimalista
128;sí;alegre;tenue;no;sí;sí;moderno
129;sí;alegre;brillante;sí;sí;no;minimalista
130;sí;alegre;tenue;sí;sí;no;artístico
131;sí;calmada;brillante;sí;no;no;minimalista
132;no;calmada;tenue;no;sí;sí;minimalista
133;no;calmada;brillante;sí;sí;sí;artístico
134;no;sin música;brillante;sí;no;sí;rústico
135;sí;calmada;brillante;no;sí;sí;industrial
136;no;sin música;cálida;sí;sí;no;rústico
137;no;alegre;cálida;sí;sí;no;artístico
138;no;sin música;brillante;sí;no;no;minimalista
139;no;sin música;brillante;no;sí;no;artístico
140;sí;sin música;tenue;no;sí;no;artístico
141;sí;alegre;tenue;sí;sí;sí;industrial
142;sí;sin música;tenue;sí;sí;sí;rústico
143;sí;alegre;tenue;sí;no;no;artístico
144;no;calmada;cálida;no;sí;no;industrial
145;sí;sin música;tenue;sí;no;sí;rústico
146;sí;calmada;cálida;no;no;sí;vintage
147;no;calmada;cálida;no;sí;no;rústico
148;no;calmada;brillante;sí;no;sí;minimalista
149;no;alegre;brillante;no;no;no;minimalista
150;no;calmada;cálida;no;no;sí;moderno
151;no;alegre;brillante;sí;no;sí;rústico
152;no;sin música;brillante;sí;no;sí;rústico
153;sí;sin música;cálida;sí;sí;no;vintage
154;no;alegre;tenue;sí;sí;no;industrial
155;no;calmada;brillante;no;no;sí;rústico
156;sí;sin música;brillante;sí;no;no;industrial
157;sí;sin música;brillante;no;no;no;minimalista
158;sí;sin música;brillante;sí;no;sí;artístico
159;no;calmada;cálida;no;sí;sí;minimalista
160;sí;sin música;brillante;sí;sí;sí;industrial
161;no;calmada;cálida;sí;no;sí;moderno
162;sí;sin música;tenue;sí;no;no;minimalista
163;sí;calmada;tenue;no;sí;no;artístico
164;sí;alegre;cálida;no;no;no;industrial
165;no;sin música;brillante;no;sí;sí;vintage
166;sí;calmada;cálida;no;sí;sí;industrial
167;sí;sin música;cálida;no;sí;sí;minimalista
168;sí;sin música;brillante;no;no;no;minimalista
169;no;calmada;tenue;no;sí;no;vintage
170;no;sin música;brillante;no;sí;sí;minimalista
171;no;sin música;tenue;no;sí;sí;vintage
172;no;sin música;tenue;sí;no;no;moderno
173;sí;sin música;cálida;sí;sí;sí;vintage
174;no;alegre;tenue;no;no;no;vintage
175;sí;alegre;brillante;sí;sí;no;vintage
176;sí;calmada;brillante;sí;no;no;moderno
177;no;alegre;brillante;sí;no;no;rústico
178;no;calmada;cálida;no;no;no;moderno
179;no;sin música;tenue;sí;sí;sí;vintage
180;sí;alegre;cálida;sí;no;no;vintage
181;no;calmada;tenue;sí;sí;no;vintage
182;sí;sin música;brillante;no;no;sí;vintage
183;sí;calmada;brillante;sí;sí;no;industrial
184;no;alegre;brillante;sí;sí;sí;industrial
185;no;calmada;cálida;sí;no;no;minimalista
186;no;alegre;tenue;no;sí;sí;vintage
187;sí;calmada;cálida;no;no;sí;moderno
188;sí;sin música;cálida;sí;sí;sí;vintage
189;no;calmada;brillante;no;sí;no;minimalista
190;sí;sin música;cálida;sí;no;sí;vintage
191;sí;alegre;cálida;no;sí;no;vintage
192;no;sin música;tenue;sí;sí;sí;rústico
193;no;calmada;cálida;no;no;sí;industrial
194;no;alegre;cálida;no;sí;no;vintage
195;no;alegre;brillante;no;sí;sí;industrial
196;sí;sin música;cálida;sí;no;no;industrial
197;no;alegre;cálida;no;no;no;artístico
198;no;calmada;cálida;sí;sí;sí;industrial
199;no;alegre;tenue;no;sí;sí;artístico
200;no;calmada;tenue;no;no;sí;minimalista
201;sí;alegre;tenue;sí;sí;sí;rústico
202;sí;alegre;tenue;sí;sí;no;industrial
203;sí;sin música;cálida;no;no;sí;rústico
204;no;alegre;brillante;no;no;sí;artístico
205;sí;calmada;tenue;sí;no;no;rústico
206;no;alegre;tenue;no;no;no;vintage
207;sí;calmada;cálida;sí;sí;no;vintage
208;sí;sin música;cálida;no;sí;no;rústico
209;sí;sin música;brillante;sí;sí;no;rústico
210;sí;calmada;cálida;no;sí;sí;minimalista
211;sí;alegre;tenue;sí;no;no;industrial
212;sí;calmada;brillante;no;no;no;minimalista
213;sí;alegre;brillante;no;sí;no;industrial
214;no;alegre;tenue;no;sí;no;vintage
215;sí;sin música;cálida;no;sí;no;rústico
216;sí;calmada;brillante;sí;sí;no;industrial
217;sí;sin música;cálida;no;sí;no;minimalista
218;sí;alegre;brillante;sí;no;sí;artístico
219;sí;sin música;tenue;sí;no;sí;minimalista
220;no;calmada;brillante;sí;no;no;vintage
221;sí;sin música;tenue;sí;no;sí;moderno
222;sí;sin música;tenue;no;no;no;rústico
223;no;sin música;brillante;sí;no;sí;vintage
224;no;alegre;cálida;no;no;no;vintage
225;sí;alegre;cálida;sí;no;no;artístico
226;sí;sin música;cálida;sí;no;sí;rústico
227;no;sin música;brillante;no;sí;no;minimalista
228;no;sin música;brillante;no;sí;no;minimalista
229;no;alegre;brillante;sí;sí;sí;artístico
230;no;calmada;cálida;no;sí;sí;minimalista
231;no;calmada;brillante;no;sí;no;moderno
232;sí;sin música;brillante;sí;sí;sí;vintage
233;sí;sin música;cálida;no;sí;sí;moderno
234;no;calmada;brillante;no;sí;no;artístico
235;no;alegre;brillante;no;no;sí;moderno
236;no;calmada;cálida;no;no;no;rústico
237;no;sin música;brillante;sí;no;no;moderno
238;no;alegre;tenue;sí;no;sí;rústico
239;no;sin música;cálida;sí;sí;no;rústico
240;no;sin música;cálida;sí;no;no;industrial
241;no;calmada;tenue;no;sí;sí;minimalista
242;sí;sin música;tenue;no;no;no;minimalista
243;no;sin música;tenue;no;sí;no;rústico
244;sí;alegre;tenue;no;no;sí;vintage
245;sí;calmada;brillante;no;no;sí;moderno
246;sí;sin música;brillante;no;sí;sí;industrial
247;sí;calmada;tenue;sí;sí;sí;vintage
248;sí;sin música;cálida;no;sí;sí;vintage
249;no;calmada;brillante;no;sí;sí;artístico
250;sí;alegre;tenue;sí;sí;no;vintage
251;no;sin música;tenue;no;sí;no;industrial
252;sí;sin música;cálida;no;no;no;vintage
253;no;sin música;tenue;no;sí;no;industrial
254;sí;sin música;cálida;sí;no;sí;artístico
255;sí;alegre;cálida;no;sí;no;moderno
256;sí;sin música;brillante;sí;sí;sí;vintage
257;no;calmada;tenue;no;sí;no;moderno
258;sí;alegre;brillante;sí;no;sí;vintage
259;sí;sin música;tenue;no;sí;sí;rústico
260;sí;alegre;cálida;sí;no;sí;industrial
261;no;alegre;brillante;sí;no;no;moderno
262;sí;alegre;tenue;sí;no;sí;rústico
263;sí;sin música;tenue;no;sí;sí;moderno
264;no;sin música;cálida;no;sí;no;minimalista
265;sí;alegre;cálida;sí;sí;sí;moderno
266;no;sin música;brillante;no;no;sí;rústico
267;sí;sin música;brillante;no;sí;no;artístico
268;no;calmada;brillante;sí;no;sí;moderno
269;sí;sin música;cálida;no;sí;sí;rústico
270;sí;calmada;tenue;sí;no;no;moderno
271;no;calmada;tenue;sí;sí;no;rústico
272;no;sin música;cálida;no;no;no;artístico
273;no;alegre;cálida;no;sí;no;industrial
274;no;alegre;cálida;no;sí;no;industrial
275;no;calmada;brillante;sí;no;no;artístico
276;sí;alegre;tenue;sí;no;sí;vintage
277;no;calmada;cálida;sí;no;sí;industrial
278;no;calmada;tenue;sí;sí;sí;moderno
279;sí;sin música;tenue;no;sí;no;minimalista
280;sí;alegre;cálida;no;sí;no;vintage
281;sí;sin música;tenue;no;sí;sí;rústico
282;sí;alegre;tenue;sí;no;sí;industrial
283;sí;calmada;cálida;sí;sí;sí;vintage
284;no;calmada;cálida;no;sí;no;artístico
285;no;sin música;cálida;sí;sí;no;rústico
286;no;sin música;tenue;no;no;sí;rústico
287;no;sin música;brillante;sí;sí;no;artístico
288;no;sin música;cálida;sí;no;sí;industrial
289;sí;alegre;tenue;no;sí;no;artístico
290;no;alegre;brillante;sí;no;sí;minimalista
291;sí;sin música;brillante;no;sí;no;minimalista
292;no;sin música;tenue;sí;no;no;minimalista
293;sí;sin música;cálida;sí;sí;no;artístico
294;sí;calmada;tenue;sí;sí;sí;industrial
295;no;alegre;cálida;sí;sí;sí;rústico
296;no;alegre;tenue;sí;sí;sí;rústico
297;sí;calmada;tenue;no;sí;sí;rústico
298;sí;alegre;brillante;no;no;sí;moderno
299;no;alegre;cálida;no;no;sí;moderno
300;no;alegre;brillante;sí;sí;sí;industrial
301;sí;alegre;cálida;no;no;sí;industrial
302;sí;alegre;tenue;no;sí;no;artístico
303;no;alegre;cálida;sí;sí;sí;rústico
304;sí;calmada;brillante;sí;sí;no;minimalista
305;no;sin música;brillante;sí;no;sí;moderno
306;sí;calmada;cálida;sí;no;sí;moderno
307;sí;calmada;brillante;no;sí;no;artístico
308;sí;sin música;brillante;sí;no;sí;moderno
309;no;sin música;brillante;no;no;sí;minimalista
310;sí;calmada;brillante;sí;no;sí;artístico
311;sí;alegre;tenue;no;sí;no;industrial
312;no;alegre;brillante;no;sí;no;rústico
313;sí;sin música;brillante;sí;sí;sí;rústico
314;sí;sin música;brillante;no;sí;sí;industrial
315;sí;calmada;tenue;sí;no;no;artístico
316;sí;alegre;tenue;sí;sí;sí;vintage
317;no;calmada;tenue;no;sí;sí;industrial
318;no;sin música;tenue;no;sí;no;moderno
319;no;calmada;brillante;sí;sí;no;rústico
320;no;alegre;brillante;sí;sí;no;industrial
321;sí;calmada;tenue;no;sí;sí;moderno
322;sí;alegre;brillante;sí;sí;sí;rústico
323;no;sin música;brillante;sí;sí;no;minimalista
324;sí;sin música;brillante;sí;no;sí;industrial
325;no;calmada;cálida;no;no;no;moderno
326;no;alegre;cálida;sí;no;no;vintage
327;no;calmada;cálida;no;sí;no;industrial
328;sí;calmada;brillante;no;sí;sí;artístico
329;no;calmada;brillante;no;no;sí;industrial
330;no;calmada;tenue;sí;sí;sí;moderno
331;sí;calmada;brillante;sí;sí;no;artístico
332;no;alegre;tenue;sí;sí;no;artístico
333;no;sin música;tenue;sí;no;no;artístico
334;sí;sin música;tenue;no;no;sí;minimalista
335;no;alegre;cálida;sí;no;sí;minimalista
336;sí;alegre;brillante;sí;sí;sí;artístico
337;sí;sin música;tenue;no;sí;no;moderno
338;no;sin música;cálida;no;no;sí;rústico
339;no;alegre;brillante;sí;no;no;industrial
340;sí;alegre;tenue;sí;no;sí;industrial
341;no;calmada;cálida;sí;no;no;rústico
342;sí;sin música;cálida;sí;sí;no;minimalista
343;sí;sin música;brillante;sí;no;sí;rústico
344;sí;calmada;cálida;no;sí;sí;moderno
345;sí;calmada;cálida;sí;sí;no;artístico
346;sí;alegre;brillante;sí;no;sí;minimalista
347;sí;sin música;cálida;sí;sí;sí;minimalista
348;no;alegre;tenue;no;no;sí;artístico
349;sí;alegre;brillante;sí;sí;no;minimalista
350;sí;calmada;cálida;sí;sí;no;artístico
351;no;alegre;cálida;no;sí;sí;artístico
352;sí;calmada;tenue;no;sí;no;rústico
353;sí;alegre;cálida;sí;sí;no;vintage
354;no;sin música;tenue;no;no;no;artístico
355;no;calmada;cálida;sí;no;no;artístico
356;no;sin música;brillante;sí;sí;no;artístico
357;sí;alegre;cálida;no;no;no;rústico
358;sí;alegre;cálida;no;sí;no;rústico
359;no;calmada;tenue;sí;no;sí;artístico
360;sí;sin música;tenue;sí;no;sí;industrial
361;no;sin música;cálida;no;sí;sí;rústico
362;no;alegre;cálida;no;sí;no;moderno
363;no;sin música;cálida;sí;no;no;rústico
364;sí;alegre;brillante;no;no;sí;minimalista
365;sí;alegre;brillante;no;no;sí;rústico
366;sí;calmada;cálida;no;no;sí;minimalista
367;no;sin música;tenue;no;sí;sí;moderno
368;sí;calmada;tenue;no;sí;no;vintage
369;sí;calmada;brillante;sí;sí;no;vintage
370;no;alegre;cálida;sí;no;sí;moderno
371;sí;alegre;brillante;sí;no;no;vintage
372;no;alegre;tenue;no;sí;no;moderno
373;sí;alegre;brillante;sí;no;no;artístico
374;no;calmada;brillante;sí;sí;no;industrial
375;sí;alegre;cálida;no;sí;no;industrial
376;no;alegre;tenue;sí;sí;sí;vintage
377;sí;sin música;cálida;no;no;no;minimalista
378;sí;calmada;brillante;sí;no;no;industrial
379;sí;calmada;brillante;no;no;sí;industrial
380;no;sin música;tenue;sí;sí;no;artístico
381;sí;alegre;tenue;no;sí;no;moderno
382;no;alegre;tenue;sí;no;sí;artístico
383;sí;sin música;brillante;no;sí;sí;moderno
384;sí;sin música;tenue;sí;sí;sí;artístico
385;sí;sin música;cálida;no;no;sí;minimalista
386;sí;calmada;cálida;sí;no;sí;moderno
387;sí;sin música;brillante;no;no;sí;industrial
388;sí;alegre;cálida;no;no;no;rústico
389;sí;sin música;tenue;sí;sí;no;vintage
390;sí;sin música;brillante;sí;no;sí;vintage
391;no;sin música;tenue;no;no;sí;vintage
392;no;calmada;tenue;no;sí;sí;industrial
393;sí;alegre;cálida;sí;no;no;artístico
394;no;sin música;tenue;no;no;sí;industrial
395;no;calmada;tenue;no;sí;sí;vintage
396;sí;alegre;brillante;no;sí;no;moderno
397;no;alegre;cálida;no;sí;sí;rústico
398;sí;alegre;brillante;sí;sí;no;minimalista
399;no;alegre;tenue;sí;no;no;moderno
400;sí;sin música;brillante;no;no;no;industrial
401;sí;sin música;cálida;no;sí;no;rústico
402;no;sin música;cálida;sí;no;sí;rústico
403;sí;calmada;brillante;sí;sí;sí;rústico
404;no;sin música;brillante;sí;no;sí;moderno
405;sí;alegre;brillante;sí;no;no;moderno
406;no;sin música;tenue;no;sí;no;minimalista
407;sí;sin música;brillante;no;no;no;minimalista
408;no;calmada;tenue;no;sí;sí;artístico
409;sí;sin música;cálida;sí;sí;sí;moderno
410;no;alegre;tenue;sí;no;sí;industrial
411;no;calmada;tenue;sí;sí;no;moderno
412;no;calmada;cálida;no;sí;no;rústico
413;sí;alegre;cálida;no;no;no;artístico
414;no;sin música;tenue;sí;no;sí;moderno
415;sí;sin música;brillante;no;no;sí;minimalista
416;sí;sin música;tenue;no;sí;sí;industrial
417;sí;alegre;cálida;no;no;sí;minimalista
418;no;calmada;tenue;sí;no;no;moderno
419;sí;calmada;cálida;no;no;no;moderno
420;no;calmada;brillante;sí;sí;no;minimalista
421;no;alegre;tenue;no;sí;no;artístico
422;sí;alegre;brillante;no;no;sí;artístico
423;no;alegre;cálida;no;sí;sí;industrial
424;no;sin música;cálida;no;no;sí;minimalista
425;no;calmada;tenue;no;sí;no;moderno
426;no;calmada;tenue;sí;sí;sí;rústico
427;sí;calmada;brillante;no;sí;sí;minimalista
428;no;alegre;brillante;sí;sí;sí;rústico
429;sí;calmada;cálida;sí;no;sí;rústico
430;sí;alegre;brillante;sí;no;no;industrial
431;no;calmada;cálida;no;no;sí;rústico
432;sí;alegre;brillante;sí;sí;sí;moderno
433;sí;alegre;tenue;no;no;no;minimalista
434;sí;alegre;brillante;no;sí;sí;industrial
435;no;sin música;tenue;sí;no;sí;vintage
436;sí;calmada;brillante;sí;no;no;rústico
437;no;alegre;brillante;no;no;no;industrial
438;no;sin música;brillante;sí;sí;no;vintage
439;sí;alegre;brillante;no;sí;no;artístico
440;sí;alegre;cálida;no;sí;no;industrial
441;sí;sin música;brillante;sí;no;no;rústico
442;sí;sin música;cálida;no;sí;sí;minimalista
443;no;sin música;cálida;sí;sí;no;vintage
444;no;sin música;brillante;no;no;sí;rústico
445;sí;alegre;brillante;no;no;no;artístico
446;sí;sin música;brillante;sí;sí;sí;moderno
447;sí;calmada;brillante;sí;sí;sí;industrial
448;sí;alegre;brillante;no;no;sí;moderno
449;no;calmada;cálida;no;no;sí;industrial
450;sí;sin música;tenue;sí;sí;no;artístico
451;sí;calmada;cálida;sí;no;no;minimalista
452;no;sin música;tenue;sí;no;no;minimalista
453;sí;calmada;cálida;no;no;no;artístico
454;sí;calmada;brillante;sí;sí;no;artístico
455;sí;calmada;tenue;sí;no;sí;industrial
456;sí;sin música;tenue;no;no;no;vintage
457;no;sin música;brillante;no;sí;no;minimalista
458;sí;alegre;cálida;sí;sí;sí;vintage
459;sí;sin música;tenue;no;sí;sí;industrial
460;no;calmada;cálida;no;no;sí;artístico
461;no;sin música;brillante;sí;no;no;moderno
462;sí;sin música;cálida;no;no;sí;moderno
463;sí;sin música;tenue;no;no;no;rústico
464;no;sin música;cálida;sí;sí;sí;vintage
465;sí;alegre;cálida;no;sí;sí;rústico
466;no;alegre;brillante;sí;no;sí;rústico
467;sí;alegre;tenue;no;sí;sí;moderno
468;no;sin música;cálida;sí;no;no;vintage
469;sí;alegre;brillante;sí;sí;no;moderno
470;no;alegre;cálida;no;sí;sí;rústico
471;sí;sin música;brillante;no;sí;no;artístico
472;no;sin música;tenue;no;no;sí;rústico
473;no;calmada;brillante;no;no;no;artístico
474;no;calmada;cálida;sí;sí;no;industrial
475;sí;alegre;tenue;no;sí;no;vintage
476;sí;calmada;brillante;sí;no;no;vintage
477;sí;alegre;tenue;no;sí;no;artístico
478;no;sin música;brillante;no;no;sí;artístico
479;sí;alegre;tenue;sí;no;sí;industrial
480;no;alegre;tenue;no;sí;no;rústico
481;sí;alegre;cálida;no;sí;no;minimalista
482;sí;calmada;cálida;sí;no;sí;moderno
483;sí;calmada;tenue;no;no;sí;artístico
484;no;alegre;tenue;sí;sí;no;artístico
485;sí;alegre;tenue;sí;sí;no;minimalista
486;no;calmada;brillante;no;sí;sí;industrial
487;no;sin música;brillante;no;sí;sí;vintage
488;sí;calmada;tenue;no;sí;sí;moderno
489;no;sin música;tenue;no;sí;no;vintage
490;sí;sin música;brillante;sí;no;sí;minimalista
491;sí;calmada;brillante;no;sí;no;minimalista
492;sí;alegre;brillante;sí;sí;sí;vintage
493;sí;alegre;brillante;sí;sí;no;industrial
494;sí;calmada;cálida;sí;sí;sí;artístico
495;sí;calmada;brillante;no;no;no;vintage
496;sí;sin música;tenue;no;no;sí;vintage
497;sí;alegre;tenue;no;sí;no;artístico
498;no;sin música;cálida;sí;no;no;artístico
499;sí;alegre;cálida;sí;sí;no;industrial
500;no;alegre;tenue;sí;no;sí;rústico
501;no;calmada;tenue;sí;no;no;moderno
502;no;sin música;cálida;no;no;no;vintage
503;sí;calmada;brillante;sí;no;sí;industrial
504;no;calmada;cálida;no;no;no;industrial
505;no;sin música;brillante;sí;sí;no;vintage
506;no;sin música;brillante;sí;no;no;minimalista
507;no;calmada;tenue;no;no;no;industrial
508;no;alegre;tenue;sí;no;no;moderno
509;no;calmada;tenue;no;no;no;moderno
510;no;alegre;tenue;no;no;sí;artístico
511;sí;calmada;cálida;sí;sí;no;vintage
512;no;alegre;brillante;sí;no;sí;industrial
513;no;calmada;cálida;no;no;no;industrial
514;no;sin música;brillante;sí;no;no;artístico
515;no;calmada;brillante;no;no;no;industrial
516;no;calmada;tenue;no;no;no;moderno
517;sí;calmada;tenue;no;sí;sí;moderno
518;sí;alegre;cálida;sí;sí;sí;artístico
519;sí;calmada;brillante;sí;sí;no;vintage
520;no;calmada;brillante;sí;no;sí;rústico
521;no;sin música;tenue;sí;sí;sí;artístico
522;no;sin música;tenue;no;sí;sí;rústico
523;no;calmada;tenue;no;no;sí;artístico
524;no;alegre;cálida;no;sí;no;rústico
525;no;sin música;brillante;sí;no;no;vintage
526;sí;calmada;tenue;no;no;sí;rústico
527;sí;sin música;brillante;no;no;no;minimalista
528;sí;calmada;tenue;no;sí;sí;moderno
529;no;sin música;brillante;no;sí;sí;rústico
530;sí;alegre;cálida;no;no;no;artístico
531;sí;sin música;brillante;sí;sí;no;industrial
532;sí;alegre;cálida;no;no;no;artístico
533;sí;alegre;tenue;no;no;sí;vintage
534;no;alegre;tenue;no;no;no;moderno
535;sí;alegre;cálida;no;sí;sí;artístico
536;sí;calmada;brillante;sí;no;sí;industrial
537;no;alegre;tenue;no;no;sí;artístico
538;sí;alegre;brillante;no;sí;sí;industrial
539;no;calmada;tenue;sí;no;no;artístico
540;sí;sin música;cálida;sí;sí;no;minimalista
541;no;calmada;brillante;no;no;sí;moderno
542;sí;alegre;brillante;sí;sí;sí;minimalista
543;no;calmada;tenue;sí;sí;no;industrial
544;no;alegre;cálida;no;no;no;vintage
545;no;calmada;cálida;no;no;no;industrial
546;no;sin música;tenue;sí;no;sí;industrial
547;no;alegre;cálida;no;no;sí;vintage
548;sí;sin música;brillante;no;no;sí;vintage
549;no;calmada;cálida;no;sí;no;industrial
550;no;alegre;cálida;sí;sí;no;moderno
551;no;calmada;cálida;no;no;no;artístico
552;sí;alegre;cálida;no;no;no;rústico
553;no;sin música;tenue;no;no;sí;vintage
554;sí;sin música;cálida;no;sí;no;rústico
555;no;calmada;cálida;sí;no;sí;vintage
556;no;alegre;brillante;no;sí;no;artístico
557;no;alegre;brillante;no;sí;sí;rústico
558;no;sin música;tenue;sí;no;sí;artístico
559;sí;alegre;cálida;sí;no;sí;industrial
560;sí;sin música;tenue;no;sí;sí;vintage
561;no;calmada;brillante;sí;sí;sí;moderno
562;no;calmada;cálida;sí;sí;no;industrial
563;sí;alegre;brillante;sí;no;no;moderno
564;sí;sin música;brillante;no;no;no;artístico
565;sí;alegre;tenue;no;no;sí;vintage
566;sí;sin música;cálida;sí;no;sí;vintage
567;no;alegre;cálida;no;no;no;artístico
568;sí;sin música;cálida;sí;no;sí;rústico
569;no;calmada;tenue;no;no;no;industrial
570;no;calmada;cálida;no;no;no;artístico
571;sí;calmada;brillante;no;no;no;industrial
572;no;calmada;brillante;sí;no;sí;vintage
573;sí;calmada;brillante;no;sí;no;artístico
574;no;sin música;tenue;no;sí;no;artístico
575;sí;sin música;cálida;no;sí;no;rústico
