id_cafeterias_productos;cafeteria_id;producto_id;categoria
126;26;30;caro
127;26;260;caro
128;26;195;caro
129;26;225;caro
130;26;104;caro
131;27;78;medio
132;27;352;medio
133;27;308;medio
134;27;226;medio
135;27;280;medio
136;28;268;medio
137;28;335;medio
138;28;238;medio
139;28;156;medio
140;28;1;medio
141;29;45;caro
142;29;327;caro
143;29;5;caro
144;29;311;caro
145;29;231;caro
146;30;300;medio
147;30;239;medio
148;30;151;medio
149;30;156;medio
150;30;234;medio
151;31;163;caro
152;31;384;caro
153;31;17;caro
154;31;351;caro
155;31;356;caro
156;32;307;medio
157;32;189;medio
158;32;116;medio
159;32;381;medio
160;32;322;medio
161;33;367;caro
162;33;12;caro
163;33;14;caro
164;33;386;caro
165;33;73;caro
166;34;61;caro
167;34;80;caro
168;34;390;caro
169;34;264;caro
170;34;301;caro
171;35;271;caro
172;35;356;caro
173;35;113;caro
174;35;289;caro
175;35;269;caro
176;36;149;caro
177;36;260;caro
178;36;362;caro
179;36;118;caro
180;36;383;caro
181;37;53;medio
182;37;97;medio
183;37;352;medio
184;37;116;medio
185;37;316;medio
186;38;280;medio
187;38;94;medio
188;38;208;medio
189;38;361;medio
190;38;53;medio
191;39;343;medio
192;39;228;medio
193;39;47;medio
194;39;208;medio
195;39;400;medio
196;40;261;medio
197;40;131;medio
198;40;208;medio
199;40;168;medio
200;40;280;medio
201;41;297;barato
202;41;348;barato
203;41;359;barato
204;41;96;barato
205;41;40;barato
206;42;79;barato
207;42;176;barato
208;42;376;barato
209;42;102;barato
210;42;25;barato
211;43;225;caro
212;43;384;caro
213;43;265;caro
214;43;30;caro
215;43;380;caro
216;44;221;barato
217;44;373;barato
218;44;270;barato
219;44;141;barato
220;44;388;barato
221;45;390;caro
222;45;17;caro
223;45;377;caro
224;45;119;caro
225;45;314;caro
226;46;386;caro
227;46;289;caro
228;46;338;caro
229;46;327;caro
230;46;165;caro
231;47;84;barato
232;47;32;barato
233;47;150;barato
234;47;173;barato
235;47;147;barato
236;48;282;medio
237;48;316;medio
238;48;138;medio
239;48;131;medio
240;48;345;medio
241;49;301;caro
242;49;327;caro
243;49;303;caro
244;49;271;caro
245;49;269;caro
246;50;33;medio
247;50;172;medio
248;50;135;medio
249;50;337;medio
250;50;278;medio
251;51;30;caro
252;51;346;caro
253;51;260;caro
254;51;149;caro
255;51;211;caro
256;52;101;medio
257;52;95;medio
258;52;57;medio
259;52;35;medio
260;52;89;medio
261;53;350;barato
262;53;305;barato
263;53;235;barato
264;53;368;barato
265;53;233;barato
266;54;150;barato
267;54;68;barato
268;54;198;barato
269;54;178;barato
270;54;183;barato
271;55;278;medio
272;55;292;medio
273;55;3;medio
274;55;77;medio
275;55;228;medio
276;56;231;caro
277;56;211;caro
278;56;72;caro
279;56;123;caro
280;56;30;caro
281;57;6;caro
282;57;72;caro
283;57;384;caro
284;57;377;caro
285;57;260;caro
286;58;324;medio
287;58;382;medio
288;58;228;medio
289;58;276;medio
290;58;234;medio
291;59;57;medio
292;59;391;medio
293;59;174;medio
294;59;205;medio
295;59;352;medio
296;60;100;barato
297;60;235;barato
298;60;203;barato
299;60;153;barato
300;60;192;barato
301;61;371;barato
302;61;171;barato
303;61;364;barato
304;61;320;barato
305;61;186;barato
306;62;269;caro
307;62;214;caro
308;62;326;caro
309;62;113;caro
310;62;118;caro
311;63;332;caro
312;63;327;caro
313;63;2;caro
314;63;260;caro
315;63;271;caro
316;64;3;medio
317;64;128;medio
318;64;116;medio
319;64;57;medio
320;64;174;medio
321;65;149;caro
322;65;342;caro
323;65;260;caro
324;65;54;caro
325;65;195;caro
326;66;112;barato
327;66;20;barato
328;66;235;barato
329;66;241;barato
330;66;62;barato
331;67;237;caro
332;67;39;caro
333;67;264;caro
334;67;195;caro
335;67;5;caro
336;68;72;caro
337;68;163;caro
338;68;356;caro
339;68;342;caro
340;68;237;caro
341;69;373;barato
342;69;249;barato
343;69;213;barato
344;69;227;barato
345;69;157;barato
346;70;326;caro
347;70;37;caro
348;70;80;caro
349;70;76;caro
350;70;380;caro
351;71;39;caro
352;71;121;caro
353;71;367;caro
354;71;123;caro
355;71;248;caro
356;72;84;barato
357;72;222;barato
358;72;250;barato
359;72;59;barato
360;72;388;barato
361;73;30;caro
362;73;356;caro
363;73;73;caro
364;73;326;caro
365;73;225;caro
366;74;251;medio
367;74;331;medio
368;74;226;medio
369;74;353;medio
370;74;335;medio
371;75;93;medio
372;75;156;medio
373;75;205;medio
374;75;219;medio
375;75;116;medio
376;76;293;medio
377;76;246;medio
378;76;331;medio
379;76;316;medio
380;76;53;medio
381;77;378;caro
382;77;118;caro
383;77;264;caro
384;77;383;caro
385;77;265;caro
386;78;89;medio
387;78;194;medio
388;78;190;medio
389;78;52;medio
390;78;345;medio
391;79;367;caro
392;79;118;caro
393;79;248;caro
394;79;54;caro
395;79;356;caro
396;80;175;barato
397;80;320;barato
398;80;304;barato
399;80;310;barato
400;80;173;barato
401;81;64;caro
402;81;76;caro
403;81;73;caro
404;81;314;caro
405;81;17;caro
406;82;269;caro
407;82;264;caro
408;82;311;caro
409;82;214;caro
410;82;8;caro
411;83;400;medio
412;83;246;medio
413;83;330;medio
414;83;19;medio
415;83;335;medio
416;84;388;barato
417;84;179;barato
418;84;171;barato
419;84;106;barato
420;84;154;barato
421;85;384;caro
422;85;351;caro
423;85;383;caro
424;85;118;caro
425;85;386;caro
426;86;129;barato
427;86;235;barato
428;86;183;barato
429;86;171;barato
430;86;249;barato
431;87;175;barato
432;87;67;barato
433;87;38;barato
434;87;96;barato
435;87;162;barato
436;88;332;caro
437;88;362;caro
438;88;383;caro
439;88;327;caro
440;88;248;caro
441;89;137;medio
442;89;21;medio
443;89;399;medio
444;89;379;medio
445;89;77;medio
446;90;248;caro
447;90;165;caro
448;90;289;caro
449;90;214;caro
450;90;264;caro
451;91;177;medio
452;91;353;medio
453;91;398;medio
454;91;116;medio
455;91;389;medio
456;92;52;medio
457;92;246;medio
458;92;124;medio
459;92;193;medio
460;92;177;medio
461;93;256;barato
462;93;74;barato
463;93;354;barato
464;93;62;barato
465;93;133;barato
466;94;331;medio
467;94;131;medio
468;94;135;medio
469;94;168;medio
470;94;381;medio
471;95;76;caro
472;95;264;caro
473;95;118;caro
474;95;225;caro
475;95;12;caro
476;96;367;caro
477;96;385;caro
478;96;346;caro
479;96;61;caro
480;96;356;caro
481;97;282;medio
482;97;137;medio
483;97;124;medio
484;97;219;medio
485;97;21;medio
486;98;269;caro
487;98;303;caro
488;98;289;caro
489;98;265;caro
490;98;237;caro
491;99;6;caro
492;99;311;caro
493;99;130;caro
494;99;342;caro
495;99;165;caro
496;100;32;barato
497;100;373;barato
498;100;302;barato
499;100;192;barato
500;100;91;barato
501;101;290;barato
502;101;243;barato
503;101;69;barato
504;101;305;barato
505;101;267;barato
506;102;239;medio
507;102;180;medio
508;102;322;medio
509;102;137;medio
510;102;101;medio
511;103;122;medio
512;103;343;medio
513;103;33;medio
514;103;24;medio
515;103;55;medio
516;104;289;caro
517;104;265;caro
518;104;6;caro
519;104;271;caro
520;104;14;caro
521;105;237;caro
522;105;195;caro
523;105;289;caro
524;105;231;caro
525;105;351;caro
526;106;342;caro
527;106;130;caro
528;106;269;caro
529;106;327;caro
530;106;6;caro
531;107;304;barato
532;107;23;barato
533;107;227;barato
534;107;212;barato
535;107;51;barato
536;108;118;caro
537;108;149;caro
538;108;209;caro
539;108;39;caro
540;108;225;caro
541;109;5;caro
542;109;119;caro
543;109;383;caro
544;109;338;caro
545;109;314;caro
546;110;395;barato
547;110;347;barato
548;110;75;barato
549;110;99;barato
550;110;84;barato
551;111;241;barato
552;111;365;barato
553;111;227;barato
554;111;182;barato
555;111;254;barato
556;112;319;barato
557;112;146;barato
558;112;227;barato
559;112;241;barato
560;112;141;barato
561;113;54;caro
562;113;195;caro
563;113;351;caro
564;113;214;caro
565;113;149;caro
566;114;396;medio
567;114;352;medio
568;114;246;medio
569;114;333;medio
570;114;276;medio
571;115;93;medio
572;115;132;medio
573;115;71;medio
574;115;196;medio
575;115;70;medio
576;116;254;barato
577;116;25;barato
578;116;69;barato
579;116;244;barato
580;116;213;barato
581;117;231;caro
582;117;265;caro
583;117;61;caro
584;117;165;caro
585;117;260;caro
586;118;319;barato
587;118;359;barato
588;118;315;barato
589;118;223;barato
590;118;179;barato
591;119;43;barato
592;119;178;barato
593;119;110;barato
594;119;167;barato
595;119;222;barato
596;120;95;medio
597;120;21;medio
598;120;226;medio
599;120;344;medio
600;120;177;medio
601;121;17;caro
602;121;45;caro
603;121;311;caro
604;121;378;caro
605;121;385;caro
606;122;3;medio
607;122;345;medio
608;122;92;medio
609;122;57;medio
610;122;93;medio
611;123;75;barato
612;123;349;barato
613;123;40;barato
614;123;257;barato
615;123;315;barato
616;124;188;barato
617;124;164;barato
618;124;74;barato
619;124;43;barato
620;124;250;barato
621;125;130;caro
622;125;338;caro
623;125;104;caro
624;125;113;caro
625;125;311;caro
626;126;390;caro
627;126;370;caro
628;126;130;caro
629;126;214;caro
630;126;195;caro
631;127;281;medio
632;127;352;medio
633;127;379;medio
634;127;361;medio
635;127;35;medio
636;128;267;barato
637;128;84;barato
638;128;250;barato
639;128;328;barato
640;128;141;barato
641;129;198;barato
642;129;235;barato
643;129;257;barato
644;129;142;barato
645;129;296;barato
646;130;138;medio
647;130;382;medio
648;130;295;medio
649;130;292;medio
650;130;339;medio
651;131;110;barato
652;131;244;barato
653;131;233;barato
654;131;51;barato
655;131;348;barato
656;132;203;barato
657;132;227;barato
658;132;376;barato
659;132;186;barato
660;132;176;barato
661;133;20;barato
662;133;249;barato
663;133;203;barato
664;133;134;barato
665;133;373;barato
666;134;222;barato
667;134;56;barato
668;134;350;barato
669;134;23;barato
670;134;373;barato
671;135;363;caro
672;135;6;caro
673;135;61;caro
674;135;314;caro
675;135;130;caro
676;136;116;medio
677;136;331;medio
678;136;308;medio
679;136;339;medio
680;136;343;medio
681;137;102;barato
682;137;302;barato
683;137;224;barato
684;137;320;barato
685;137;359;barato
686;138;289;caro
687;138;72;caro
688;138;231;caro
689;138;104;caro
690;138;386;caro
691;139;280;medio
692;139;177;medio
693;139;389;medio
694;139;35;medio
695;139;292;medio
696;140;267;barato
697;140;62;barato
698;140;75;barato
699;140;11;barato
700;140;96;barato
701;141;189;medio
702;141;281;medio
703;141;382;medio
704;141;205;medio
705;141;42;medio
706;142;268;medio
707;142;70;medio
708;142;194;medio
709;142;238;medio
710;142;281;medio
711;143;120;medio
712;143;330;medio
713;143;151;medio
714;143;316;medio
715;143;216;medio
716;144;381;medio
717;144;132;medio
718;144;53;medio
719;144;228;medio
720;144;333;medio
721;145;315;barato
722;145;9;barato
723;145;36;barato
724;145;176;barato
725;145;227;barato
726;146;37;caro
727;146;118;caro
728;146;209;caro
729;146;384;caro
730;146;5;caro
731;147;291;barato
732;147;110;barato
733;147;192;barato
734;147;392;barato
735;147;179;barato
736;148;326;caro
737;148;39;caro
738;148;303;caro
739;148;104;caro
740;148;17;caro
741;149;175;barato
742;149;222;barato
743;149;288;barato
744;149;235;barato
745;149;290;barato
746;150;380;caro
747;150;338;caro
748;150;163;caro
749;150;61;caro
750;150;332;caro
751;151;344;medio
752;151;375;medio
753;151;101;medio
754;151;120;medio
755;151;35;medio
756;152;384;caro
757;152;37;caro
758;152;118;caro
759;152;12;caro
760;152;113;caro
761;153;178;barato
762;153;144;barato
763;153;227;barato
764;153;222;barato
765;153;182;barato
766;154;210;barato
767;154;364;barato
768;154;371;barato
769;154;359;barato
770;154;290;barato
771;155;155;barato
772;155;166;barato
773;155;224;barato
774;155;347;barato
775;155;67;barato
776;156;59;barato
777;156;154;barato
778;156;368;barato
779;156;365;barato
780;156;320;barato
781;157;189;medio
782;157;190;medio
783;157;216;medio
784;157;268;medio
785;157;251;medio
786;158;335;medio
787;158;400;medio
788;158;128;medio
789;158;138;medio
790;158;379;medio
791;159;78;medio
792;159;340;medio
793;159;81;medio
794;159;344;medio
795;159;53;medio
796;160;350;barato
797;160;112;barato
798;160;376;barato
799;160;161;barato
800;160;160;barato
801;161;134;barato
802;161;212;barato
803;161;41;barato
804;161;304;barato
805;161;222;barato
806;162;256;barato
807;162;173;barato
808;162;38;barato
809;162;192;barato
810;162;222;barato
811;163;188;barato
812;163;328;barato
813;163;23;barato
814;163;110;barato
815;163;250;barato
816;164;51;barato
817;164;221;barato
818;164;20;barato
819;164;11;barato
820;164;395;barato
821;165;301;caro
822;165;130;caro
823;165;8;caro
824;165;165;caro
825;165;17;caro
826;166;37;caro
827;166;61;caro
828;166;39;caro
829;166;271;caro
830;166;269;caro
831;167;37;caro
832;167;385;caro
833;167;82;caro
834;167;113;caro
835;167;119;caro
836;168;340;medio
837;168;101;medio
838;168;323;medio
839;168;194;medio
840;168;190;medio
841;169;347;barato
842;169;62;barato
843;169;141;barato
844;169;85;barato
845;169;20;barato
846;170;70;medio
847;170;247;medio
848;170;255;medio
849;170;382;medio
850;170;330;medio
851;171;385;caro
852;171;80;caro
853;171;303;caro
854;171;195;caro
855;171;338;caro
856;172;371;barato
857;172;388;barato
858;172;170;barato
859;172;63;barato
860;172;102;barato
861;173;295;medio
862;173;3;medio
863;173;81;medio
864;173;234;medio
865;173;344;medio
866;174;163;caro
867;174;8;caro
868;174;370;caro
869;174;338;caro
870;174;14;caro
871;175;198;barato
872;175;176;barato
873;175;63;barato
874;175;244;barato
875;175;221;barato
876;176;261;medio
877;176;1;medio
878;176;35;medio
879;176;97;medio
880;176;55;medio
881;177;281;medio
882;177;234;medio
883;177;335;medio
884;177;137;medio
885;177;255;medio
886;178;173;barato
887;178;227;barato
888;178;217;barato
889;178;74;barato
890;178;198;barato
891;179;303;caro
892;179;104;caro
893;179;383;caro
894;179;113;caro
895;179;385;caro
896;180;36;barato
897;180;11;barato
898;180;79;barato
899;180;144;barato
900;180;155;barato
901;181;387;barato
902;181;40;barato
903;181;305;barato
904;181;349;barato
905;181;213;barato
906;182;126;barato
907;182;212;barato
908;182;368;barato
909;182;182;barato
910;182;350;barato
911;183;328;barato
912;183;222;barato
913;183;388;barato
914;183;310;barato
915;183;136;barato
916;184;72;caro
917;184;209;caro
918;184;14;caro
919;184;289;caro
920;184;211;caro
921;185;223;barato
922;185;69;barato
923;185;299;barato
924;185;284;barato
925;185;79;barato
926;186;382;medio
927;186;194;medio
928;186;353;medio
929;186;77;medio
930;186;331;medio
931;187;178;barato
932;187;75;barato
933;187;242;barato
934;187;11;barato
935;187;141;barato
936;188;221;barato
937;188;347;barato
938;188;296;barato
939;188;110;barato
940;188;126;barato
941;189;205;medio
942;189;325;medio
943;189;156;medio
944;189;21;medio
945;189;177;medio
946;190;351;caro
947;190;72;caro
948;190;311;caro
949;190;342;caro
950;190;289;caro
951;191;202;barato
952;191;359;barato
953;191;112;barato
954;191;198;barato
955;191;221;barato
956;192;242;barato
957;192;313;barato
958;192;129;barato
959;192;100;barato
960;192;158;barato
961;193;209;caro
962;193;113;caro
963;193;17;caro
964;193;30;caro
965;193;37;caro
966;194;243;barato
967;194;43;barato
968;194;158;barato
969;194;221;barato
970;194;365;barato
971;195;159;barato
972;195;136;barato
973;195;364;barato
974;195;84;barato
975;195;198;barato
976;196;162;barato
977;196;290;barato
978;196;154;barato
979;196;125;barato
980;196;69;barato
981;197;354;barato
982;197;328;barato
983;197;63;barato
984;197;96;barato
985;197;290;barato
986;198;314;caro
987;198;130;caro
988;198;351;caro
989;198;54;caro
990;198;195;caro
991;199;243;barato
992;199;235;barato
993;199;392;barato
994;199;136;barato
995;199;357;barato
996;200;363;caro
997;200;390;caro
998;200;209;caro
999;200;289;caro
1000;200;195;caro
1001;201;382;medio
1002;201;47;medio
1003;201;42;medio
1004;201;255;medio
1005;201;340;medio
1006;202;337;medio
1007;202;71;medio
1008;202;234;medio
1009;202;333;medio
1010;202;340;medio
1011;203;54;caro
1012;203;386;caro
1013;203;130;caro
1014;203;73;caro
1015;203;195;caro
1016;204;367;caro
1017;204;76;caro
1018;204;303;caro
1019;204;231;caro
1020;204;264;caro
1021;205;39;caro
1022;205;64;caro
1023;205;165;caro
1024;205;8;caro
1025;205;121;caro
1026;206;346;caro
1027;206;356;caro
1028;206;14;caro
1029;206;363;caro
1030;206;326;caro
1031;207;195;caro
1032;207;301;caro
1033;207;72;caro
1034;207;119;caro
1035;207;370;caro
1036;208;40;barato
1037;208;259;barato
1038;208;213;barato
1039;208;110;barato
1040;208;315;barato
1041;209;163;caro
1042;209;5;caro
1043;209;130;caro
1044;209;165;caro
1045;209;384;caro
1046;210;243;barato
1047;210;146;barato
1048;210;242;barato
1049;210;355;barato
1050;210;106;barato
1051;211;5;caro
1052;211;264;caro
1053;211;6;caro
1054;211;269;caro
1055;211;130;caro
1056;212;21;medio
1057;212;208;medio
1058;212;172;medio
1059;212;101;medio
1060;212;120;medio
1061;213;33;medio
1062;213;42;medio
1063;213;185;medio
1064;213;335;medio
1065;213;255;medio
1066;214;62;barato
1067;214;259;barato
1068;214;288;barato
1069;214;243;barato
1070;214;11;barato
1071;215;125;barato
1072;215;244;barato
1073;215;186;barato
1074;215;259;barato
1075;215;192;barato
1076;216;194;medio
1077;216;375;medio
1078;216;208;medio
1079;216;345;medio
1080;216;205;medio
1081;217;60;medio
1082;217;389;medio
1083;217;335;medio
1084;217;281;medio
1085;217;131;medio
1086;218;391;medio
1087;218;340;medio
1088;218;94;medio
1089;218;361;medio
1090;218;281;medio
1091;219;336;medio
1092;219;137;medio
1093;219;339;medio
1094;219;279;medio
1095;219;196;medio
1096;220;5;caro
1097;220;82;caro
1098;220;30;caro
1099;220;209;caro
1100;220;2;caro
1101;221;367;caro
1102;221;269;caro
1103;221;37;caro
1104;221;72;caro
1105;221;118;caro
1106;222;99;barato
1107;222;373;barato
1108;222;210;barato
1109;222;243;barato
1110;222;233;barato
1111;223;144;barato
1112;223;304;barato
1113;223;252;barato
1114;223;368;barato
1115;223;259;barato
1116;224;279;medio
1117;224;293;medio
1118;224;323;medio
1119;224;307;medio
1120;224;208;medio
1121;225;124;medio
1122;225;185;medio
1123;225;278;medio
1124;225;196;medio
1125;225;336;medio
1126;226;265;caro
1127;226;54;caro
1128;226;301;caro
1129;226;37;caro
1130;226;211;caro
1131;227;323;medio
1132;227;400;medio
1133;227;124;medio
1134;227;174;medio
1135;227;276;medio
1136;228;71;medio
1137;228;137;medio
1138;228;95;medio
1139;228;345;medio
1140;228;381;medio
1141;229;106;barato
1142;229;387;barato
1143;229;74;barato
1144;229;224;barato
1145;229;110;barato
1146;230;205;medio
1147;230;300;medio
1148;230;52;medio
1149;230;196;medio
1150;230;336;medio
1151;231;168;medio
1152;231;189;medio
1153;231;128;medio
1154;231;337;medio
1155;231;276;medio
1156;232;300;medio
1157;232;89;medio
1158;232;340;medio
1159;232;331;medio
1160;232;226;medio
1161;233;81;medio
1162;233;308;medio
1163;233;77;medio
1164;233;234;medio
1165;233;282;medio
1166;234;42;medio
1167;234;1;medio
1168;234;344;medio
1169;234;278;medio
1170;234;70;medio
1171;235;299;barato
1172;235;110;barato
1173;235;40;barato
1174;235;173;barato
1175;235;167;barato
1176;236;384;caro
1177;236;390;caro
1178;236;383;caro
1179;236;301;caro
1180;236;5;caro
1181;237;267;barato
1182;237;182;barato
1183;237;218;barato
1184;237;126;barato
1185;237;87;barato
1186;238;113;caro
1187;238;265;caro
1188;238;130;caro
1189;238;370;caro
1190;238;72;caro
1191;239;345;medio
1192;239;279;medio
1193;239;339;medio
1194;239;3;medio
1195;239;278;medio
1196;240;81;medio
1197;240;137;medio
1198;240;276;medio
1199;240;35;medio
1200;240;337;medio
1201;241;375;medio
1202;241;138;medio
1203;241;177;medio
1204;241;381;medio
1205;241;345;medio
1206;242;337;medio
1207;242;247;medio
1208;242;77;medio
1209;242;268;medio
1210;242;400;medio
1211;243;345;medio
1212;243;89;medio
1213;243;70;medio
1214;243;120;medio
1215;243;122;medio
1216;244;282;medio
1217;244;33;medio
1218;244;65;medio
1219;244;279;medio
1220;244;335;medio
1221;245;239;medio
1222;245;219;medio
1223;245;337;medio
1224;245;216;medio
1225;245;333;medio
1226;246;41;barato
1227;246;320;barato
1228;246;348;barato
1229;246;23;barato
1230;246;25;barato
1231;247;125;barato
1232;247;347;barato
1233;247;87;barato
1234;247;85;barato
1235;247;294;barato
1236;248;47;medio
1237;248;246;medio
1238;248;316;medio
1239;248;391;medio
1240;248;334;medio
1241;249;14;caro
1242;249;17;caro
1243;249;123;caro
1244;249;73;caro
1245;249;80;caro
1246;250;185;medio
1247;250;280;medio
1248;250;124;medio
1249;250;343;medio
1250;250;279;medio
1251;251;71;medio
1252;251;216;medio
1253;251;340;medio
1254;251;190;medio
1255;251;268;medio
1256;252;316;medio
1257;252;156;medio
1258;252;278;medio
1259;252;381;medio
1260;252;336;medio
1261;253;153;barato
1262;253;294;barato
1263;253;146;barato
1264;253;11;barato
1265;253;182;barato
1266;254;400;medio
1267;254;255;medio
1268;254;24;medio
1269;254;185;medio
1270;254;151;medio
1271;255;222;barato
1272;255;43;barato
1273;255;126;barato
1274;255;36;barato
1275;255;256;barato
1276;256;235;barato
1277;256;310;barato
1278;256;186;barato
1279;256;144;barato
1280;256;182;barato
1281;257;310;barato
1282;257;304;barato
1283;257;376;barato
1284;257;270;barato
1285;257;313;barato
1286;258;4;barato
1287;258;313;barato
1288;258;249;barato
1289;258;23;barato
1290;258;320;barato
1291;259;188;barato
1292;259;373;barato
1293;259;294;barato
1294;259;302;barato
1295;259;364;barato
1296;260;168;medio
1297;260;116;medio
1298;260;280;medio
1299;260;124;medio
1300;260;120;medio
1301;261;238;medio
1302;261;189;medio
1303;261;180;medio
1304;261;120;medio
1305;261;322;medio
1306;262;299;barato
1307;262;349;barato
1308;262;241;barato
1309;262;259;barato
1310;262;133;barato
1311;263;198;barato
1312;263;157;barato
1313;263;67;barato
1314;263;106;barato
1315;263;242;barato
1316;264;361;medio
1317;264;65;medio
1318;264;382;medio
1319;264;261;medio
1320;264;292;medio
1321;265;379;medio
1322;265;382;medio
1323;265;53;medio
1324;265;281;medio
1325;265;94;medio
1326;266;55;medio
1327;266;42;medio
1328;266;334;medio
1329;266;94;medio
1330;266;333;medio
1331;267;64;caro
1332;267;72;caro
1333;267;271;caro
1334;267;113;caro
1335;267;260;caro
1336;268;289;caro
1337;268;113;caro
1338;268;362;caro
1339;268;121;caro
1340;268;64;caro
1341;269;185;medio
1342;269;400;medio
1343;269;71;medio
1344;269;1;medio
1345;269;278;medio
1346;270;349;barato
1347;270;217;barato
1348;270;106;barato
1349;270;69;barato
1350;270;176;barato
1351;271;346;caro
1352;271;123;caro
1353;271;54;caro
1354;271;264;caro
1355;271;37;caro
1356;272;116;medio
1357;272;3;medio
1358;272;255;medio
1359;272;52;medio
1360;272;382;medio
1361;273;375;medio
1362;273;331;medio
1363;273;184;medio
1364;273;316;medio
1365;273;137;medio
1366;274;385;caro
1367;274;326;caro
1368;274;73;caro
1369;274;332;caro
1370;274;303;caro
1371;275;363;caro
1372;275;225;caro
1373;275;342;caro
1374;275;61;caro
1375;275;2;caro
1376;276;12;caro
1377;276;384;caro
1378;276;271;caro
1379;276;104;caro
1380;276;214;caro
1381;277;218;barato
1382;277;171;barato
1383;277;233;barato
1384;277;254;barato
1385;277;158;barato
1386;278;95;medio
1387;278;268;medio
1388;278;21;medio
1389;278;375;medio
1390;278;97;medio
1391;279;347;barato
1392;279;99;barato
1393;279;44;barato
1394;279;114;barato
1395;279;164;barato
1396;280;226;medio
1397;280;398;medio
1398;280;3;medio
1399;280;295;medio
1400;280;300;medio
1401;281;73;caro
1402;281;303;caro
1403;281;363;caro
1404;281;2;caro
1405;281;377;caro
1406;282;126;barato
1407;282;212;barato
1408;282;288;barato
1409;282;302;barato
1410;282;284;barato
1411;283;195;caro
1412;283;248;caro
1413;283;14;caro
1414;283;264;caro
1415;283;327;caro
1416;284;45;caro
1417;284;119;caro
1418;284;82;caro
1419;284;54;caro
1420;284;76;caro
1421;285;165;caro
1422;285;39;caro
1423;285;390;caro
1424;285;130;caro
1425;285;8;caro
1426;286;67;barato
1427;286;164;barato
1428;286;355;barato
1429;286;110;barato
1430;286;158;barato
1431;287;80;caro
1432;287;64;caro
1433;287;384;caro
1434;287;14;caro
1435;287;12;caro
1436;288;352;medio
1437;288;190;medio
1438;288;334;medio
1439;288;185;medio
1440;288;226;medio
1441;289;380;caro
1442;289;231;caro
1443;289;5;caro
1444;289;39;caro
1445;289;264;caro
1446;290;379;medio
1447;290;382;medio
1448;290;276;medio
1449;290;177;medio
1450;290;24;medio
1451;291;122;medio
1452;291;307;medio
1453;291;205;medio
1454;291;228;medio
1455;291;95;medio
1456;292;138;medio
1457;292;137;medio
1458;292;194;medio
1459;292;278;medio
1460;292;324;medio
1461;293;190;medio
1462;293;174;medio
1463;293;168;medio
1464;293;400;medio
1465;293;337;medio
1466;294;190;medio
1467;294;398;medio
1468;294;323;medio
1469;294;185;medio
1470;294;52;medio
1471;295;333;medio
1472;295;322;medio
1473;295;261;medio
1474;295;92;medio
1475;295;137;medio
1476;296;281;medio
1477;296;400;medio
1478;296;360;medio
1479;296;292;medio
1480;296;52;medio
1481;297;21;medio
1482;297;323;medio
1483;297;344;medio
1484;297;234;medio
1485;297;205;medio
1486;298;149;caro
1487;298;104;caro
1488;298;289;caro
1489;298;378;caro
1490;298;383;caro
1491;299;373;barato
1492;299;63;barato
1493;299;84;barato
1494;299;304;barato
