id_cafes;nombre;pais;variedad;presentacion;notas_sabor;altitud
30;Cacao del Corazón 30;Nicaragua;Pacamara;grano;frutal|chocolate|floral;1600–2000 msnm
31;Fuente del Horizonte 31;El Salvador;Villalobos;grano;cítrico|floral|miel;1200–1500 msnm
32;Puerta del Oeste 32;Costa Rica;Mundo Novo;molido;frutal|caramelo|vino tinto;1000–1400 msnm
33;Sol del Alba 33;El Salvador;Castillo;grano;terroso|especias|chocolate;1300–1600 msnm
34;Perla Clásica 34;Costa Rica;Caturra;molido;frutal|caramelo|vino tinto;1200–1500 msnm
35;Fuego del Mar 35;Brasil;Villalobos;cápsula;frutal|caramelo|vino tinto;1000–1400 msnm
36;Cedro del Ande 36;Ecuador;Typica;grano;frutal|caramelo|vino tinto;1300–1600 msnm
37;Sierra del Horizonte Azul 37;Bolivia;Villalobos;cápsula;frutal|miel|cítrico;1400–1800 msnm
38;Sol Verde 38;Honduras;Villalobos;cápsula;caramelo|nuez|chocolate;1400–1800 msnm
39;Horizonte del Horizonte Azul 39;Bolivia;Typica;molido;terroso|especias|chocolate;1000–1400 msnm
40;Valle del Paraíso 40;Bolivia;Maragogipe;cápsula;caramelo|nuez|chocolate;1600–2000 msnm
41;Fuente del Trópico 41;Nicaragua;Mundo Novo;grano;terroso|especias|chocolate;1200–1500 msnm
42;Altura del Cóndor 42;Bolivia;Pacamara;molido;floral|jazmín|cítrico;1300–1600 msnm
43;Cedro Nevada 43;Nicaragua;Typica;molido;frutal|miel|cítrico;1700–2100 msnm
44;Camino del Sol Naciente 44;El Salvador;Villalobos;molido;floral|té negro|frutal;1000–1400 msnm
45;Cedro del Trópico 45;El Salvador;Bourbon;grano;floral|té negro|frutal;1400–1800 msnm
46;Valle del Mundo 46;Costa Rica;Maragogipe;grano;floral|té negro|frutal;1500–1900 msnm
47;Fuente del Mar 47;El Salvador;Villalobos;grano;frutal|miel|cítrico;1600–2000 msnm
48;Brisa del Horizonte Azul 48;Guatemala;Pacamara;grano;caramelo|nuez|chocolate;1200–1500 msnm
49;Perla del Horizonte Dorado 49;Honduras;Catuai;molido;chocolate|nuez|vainilla;1600–2000 msnm
50;Sendero del Valle Sagrado 50;Guatemala;Caturra;grano;frutal|chocolate|floral;1400–1800 msnm
51;Cóndor del Valle 51;Guatemala;Mundo Novo;grano;terroso|especias|chocolate;1600–2000 msnm
52;Sol del Camino 52;Nicaragua;Caturra;molido;terroso|especias|chocolate;900–1200 msnm
53;Trueno del Volcán 53;Colombia;Bourbon;molido;floral|jazmín|cítrico;900–1200 msnm
54;Brisa Verde 54;México;Mundo Novo;cápsula;floral|jazmín|cítrico;900–1200 msnm
55;Nube del Oro 55;Perú;Villalobos;grano;frutal|miel|cítrico;1600–2000 msnm
56;Río del Bosque Alto 56;El Salvador;Castillo;cápsula;chocolate|nuez|vainilla;1700–2100 msnm
57;Perla del Sur 57;Colombia;Catuai;grano;floral|té negro|frutal;1300–1600 msnm
58;Cascada del Norte 58;Colombia;Typica;molido;caramelo|nuez|chocolate;1500–1900 msnm
59;Perla Encantada 59;Brasil;Castillo;molido;terroso|especias|chocolate;1300–1600 msnm
60;Reserva del Oeste 60;México;Mundo Novo;grano;caramelo|nuez|chocolate;1400–1800 msnm
61;Cumbre del Bosque 61;Perú;Villalobos;grano;chocolate|nuez|vainilla;1400–1800 msnm
62;Colibrí del Valle Sagrado 62;Nicaragua;Villalobos;molido;floral|té negro|frutal;1600–2000 msnm
63;Mirador del Río Grande 63;Brasil;Mundo Novo;cápsula;terroso|especias|chocolate;900–1200 msnm
64;Cascada Real 64;Honduras;Catuai;grano;chocolate|nuez|vainilla;1500–1900 msnm
65;Rayo del Este 65;Ecuador;Mundo Novo;molido;frutal|chocolate|floral;900–1200 msnm
66;Estrella Andina 66;Bolivia;Villalobos;grano;terroso|especias|chocolate;1500–1900 msnm
67;Perla del Encanto Andino 67;Guatemala;Mundo Novo;cápsula;floral|té negro|frutal;1200–1500 msnm
68;Ceiba Tropical 68;Nicaragua;Geisha;grano;terroso|especias|chocolate;1000–1400 msnm
69;Río del Espíritu 69;México;Maragogipe;molido;floral|té negro|frutal;1400–1800 msnm
70;Sol del Café 70;Costa Rica;Catuai;molido;cítrico|floral|miel;1700–2100 msnm
71;Jaguar del Volcán 71;Guatemala;Pacamara;grano;panela|frutal|cacao;1400–1800 msnm
72;Fuente del Viento 72;Nicaragua;Geisha;molido;frutal|miel|cítrico;900–1200 msnm
73;Altura del Bosque Alto 73;Honduras;Pacamara;molido;frutal|chocolate|floral;1400–1800 msnm
74;Aroma del Sur 74;Guatemala;Catuai;grano;chocolate|nuez|vainilla;1600–2000 msnm
75;Fuente del Volcán 75;Nicaragua;Pacamara;molido;frutal|caramelo|vino tinto;1200–1500 msnm
76;Fuente Suprema 76;Bolivia;Mundo Novo;cápsula;floral|jazmín|cítrico;1300–1600 msnm
77;Tesoro del Paraíso 77;Guatemala;Geisha;grano;panela|frutal|cacao;1700–2100 msnm
78;Guacamayo del Café 78;Costa Rica;Catuai;grano;caramelo|nuez|chocolate;900–1200 msnm
79;Maíz del Café 79;Colombia;Caturra;molido;panela|frutal|cacao;1500–1900 msnm
80;Corazón del Café 80;Honduras;Villalobos;molido;caramelo|nuez|chocolate;1200–1500 msnm
81;Valle del Cacao 81;Colombia;Maragogipe;molido;frutal|caramelo|vino tinto;1600–2000 msnm
82;Cóndor del Camino 82;Ecuador;Catuai;cápsula;panela|frutal|cacao;900–1200 msnm
83;Sierra del Oeste 83;Ecuador;Geisha;cápsula;frutal|chocolate|floral;1000–1400 msnm
84;Guacamayo del Amanecer 84;Guatemala;Caturra;molido;panela|frutal|cacao;1200–1500 msnm
85;Fuente del Oeste 85;Bolivia;Bourbon;grano;frutal|miel|cítrico;1500–1900 msnm
86;Quetzal del Maíz 86;Guatemala;Castillo;grano;chocolate|nuez|vainilla;1000–1400 msnm
87;Sol del Volcán 87;Bolivia;Maragogipe;molido;cítrico|floral|miel;1400–1800 msnm
88;Encanto Tropical 88;El Salvador;Bourbon;molido;frutal|chocolate|floral;1500–1900 msnm
89;Fuente del Cóndor 89;Costa Rica;Typica;grano;frutal|chocolate|floral;1200–1500 msnm
90;Joya del Tesoro 90;Brasil;Caturra;grano;terroso|especias|chocolate;1000–1400 msnm
91;Leyenda del Lago 91;Costa Rica;Caturra;grano;terroso|especias|chocolate;1300–1600 msnm
92;Sierra del Valle Sagrado 92;Brasil;Bourbon;molido;panela|frutal|cacao;1200–1500 msnm
93;Fuente del Camino 93;Colombia;Villalobos;grano;floral|jazmín|cítrico;900–1200 msnm
94;Luz del Cóndor 94;Costa Rica;Catuai;grano;panela|frutal|cacao;1400–1800 msnm
95;Perla Nevada 95;Bolivia;Mundo Novo;molido;frutal|caramelo|vino tinto;1000–1400 msnm
96;Luz del Valle 96;México;Typica;molido;floral|jazmín|cítrico;1200–1500 msnm
97;Rincón del Café 97;Nicaragua;Mundo Novo;molido;frutal|miel|cítrico;1700–2100 msnm
98;Valle del Alba 98;Perú;Caturra;grano;floral|jazmín|cítrico;1300–1600 msnm
99;Valle Mística 99;Costa Rica;Bourbon;molido;frutal|chocolate|floral;1500–1900 msnm
100;Mirador Nevada 100;Costa Rica;Catuai;cápsula;terroso|especias|chocolate;1600–2000 msnm
101;Rincón del Paraíso 101;Costa Rica;Villalobos;cápsula;terroso|especias|chocolate;1600–2000 msnm
102;Cedro del Maíz 102;Honduras;Bourbon;molido;panela|frutal|cacao;1600–2000 msnm
103;Corazón Andina 103;Costa Rica;Villalobos;grano;panela|frutal|cacao;1600–2000 msnm
104;Flor del Bosque 104;Bolivia;Bourbon;cápsula;chocolate|nuez|vainilla;1300–1600 msnm
105;Aurora del Horizonte Azul 105;Honduras;Geisha;molido;terroso|especias|chocolate;1000–1400 msnm
106;Cumbre del Bosque Alto 106;Guatemala;Bourbon;grano;terroso|especias|chocolate;1000–1400 msnm
107;Rincón del Horizonte Azul 107;El Salvador;Maragogipe;cápsula;frutal|chocolate|floral;1000–1400 msnm
108;Vereda del Este 108;Brasil;Pacamara;molido;floral|té negro|frutal;1400–1800 msnm
109;Montaña del Jaguar 109;Bolivia;Castillo;molido;floral|jazmín|cítrico;900–1200 msnm
110;Leyenda del Tesoro 110;Brasil;Geisha;cápsula;terroso|especias|chocolate;1500–1900 msnm
111;Rayo del Café Especial 111;Nicaragua;Typica;grano;panela|frutal|cacao;1400–1800 msnm
112;Mirador del Valle 112;Brasil;Typica;molido;floral|jazmín|cítrico;900–1200 msnm
113;Esencia del Cóndor 113;Ecuador;Pacamara;cápsula;floral|té negro|frutal;900–1200 msnm
114;Joya del Oeste 114;Bolivia;Typica;cápsula;frutal|caramelo|vino tinto;1700–2100 msnm
115;Puerta del Maíz 115;Brasil;Catuai;cápsula;cítrico|floral|miel;900–1200 msnm
116;Mística Andina 116;Honduras;Geisha;grano;cítrico|floral|miel;1200–1500 msnm
117;Jaguar del Río Grande 117;Bolivia;Geisha;grano;terroso|especias|chocolate;900–1200 msnm
118;Leyenda del Sol Naciente 118;El Salvador;Castillo;cápsula;frutal|miel|cítrico;1700–2100 msnm
119;Puerta del Amanecer 119;México;Geisha;grano;chocolate|nuez|vainilla;1700–2100 msnm
120;Joya del Ande 120;Bolivia;Catuai;grano;floral|jazmín|cítrico;1600–2000 msnm
121;Reserva del Cóndor 121;México;Bourbon;grano;cítrico|floral|miel;1200–1500 msnm
122;Cascada del Mar 122;El Salvador;Bourbon;grano;floral|té negro|frutal;1500–1900 msnm
123;Cóndor del Nevado 123;El Salvador;Typica;molido;chocolate|nuez|vainilla;1700–2100 msnm
124;Selva del Sur 124;Ecuador;Geisha;cápsula;terroso|especias|chocolate;900–1200 msnm
125;Cóndor del Río Grande 125;Brasil;Geisha;cápsula;panela|frutal|cacao;1200–1500 msnm
126;Flor del Cóndor 126;Costa Rica;Caturra;cápsula;panela|frutal|cacao;1300–1600 msnm
127;Estrella del Sur 127;Honduras;Bourbon;grano;frutal|caramelo|vino tinto;1700–2100 msnm
128;Reserva del Ande 128;Costa Rica;Maragogipe;cápsula;floral|jazmín|cítrico;1300–1600 msnm
129;Brisa del Este 129;Honduras;Villalobos;grano;frutal|miel|cítrico;1000–1400 msnm
130;Ceiba del Trópico 130;El Salvador;Villalobos;grano;panela|frutal|cacao;900–1200 msnm
131;Cóndor del Trópico 131;Colombia;Maragogipe;molido;caramelo|nuez|chocolate;1400–1800 msnm
132;Ceiba del Oro 132;Costa Rica;Castillo;grano;chocolate|nuez|vainilla;1300–1600 msnm
133;Cascada del Valle Sagrado 133;Ecuador;Mundo Novo;molido;chocolate|nuez|vainilla;1300–1600 msnm
134;Raíces del Horizonte 134;Brasil;Mundo Novo;grano;chocolate|nuez|vainilla;1400–1800 msnm
135;Altura del Amanecer 135;Costa Rica;Pacamara;molido;cítrico|floral|miel;1200–1500 msnm
136;Alma Dorada 136;El Salvador;Maragogipe;cápsula;frutal|caramelo|vino tinto;1000–1400 msnm
137;Cacao Tropical 137;Perú;Catuai;cápsula;panela|frutal|cacao;1600–2000 msnm
138;Cedro del Oro 138;Colombia;Maragogipe;molido;frutal|caramelo|vino tinto;1600–2000 msnm
139;Brisa Real 139;Brasil;Mundo Novo;molido;panela|frutal|cacao;1400–1800 msnm
140;Leyenda del Trueno 140;Ecuador;Caturra;grano;frutal|chocolate|floral;1700–2100 msnm
141;Camino del Río 141;Bolivia;Caturra;grano;panela|frutal|cacao;1700–2100 msnm
142;Perla del Nevado 142;México;Typica;grano;panela|frutal|cacao;1400–1800 msnm
143;Sendero del Encanto Andino 143;El Salvador;Castillo;molido;floral|té negro|frutal;1600–2000 msnm
144;Cacao del Río 144;Colombia;Catuai;cápsula;frutal|chocolate|floral;1000–1400 msnm
145;Cacao del Sol Naciente 145;Perú;Geisha;cápsula;panela|frutal|cacao;900–1200 msnm
146;Aroma del Trueno 146;Ecuador;Mundo Novo;grano;frutal|miel|cítrico;1600–2000 msnm
147;Río del Tesoro 147;Honduras;Pacamara;cápsula;caramelo|nuez|chocolate;1700–2100 msnm
148;Selva Tropical 148;Brasil;Catuai;cápsula;frutal|miel|cítrico;1700–2100 msnm
149;Valle del Valle Sagrado 149;Ecuador;Catuai;molido;frutal|chocolate|floral;1300–1600 msnm
150;Fuego del Mundo 150;Colombia;Geisha;cápsula;floral|té negro|frutal;1600–2000 msnm
151;Cumbre del Nevado 151;Nicaragua;Geisha;grano;chocolate|nuez|vainilla;1500–1900 msnm
152;Mirador del Alba 152;Brasil;Geisha;grano;cítrico|floral|miel;1400–1800 msnm
153;Sendero del Horizonte 153;Brasil;Typica;cápsula;frutal|miel|cítrico;1600–2000 msnm
154;Rayo del Río 154;México;Bourbon;cápsula;terroso|especias|chocolate;1200–1500 msnm
155;Horizonte del Espíritu 155;Perú;Bourbon;molido;frutal|miel|cítrico;900–1200 msnm
156;Fuego del Corazón 156;Costa Rica;Caturra;cápsula;frutal|miel|cítrico;1700–2100 msnm
157;Alma del Valle Sagrado 157;Brasil;Castillo;grano;frutal|caramelo|vino tinto;1700–2100 msnm
158;Corazón del Río 158;Honduras;Catuai;molido;frutal|chocolate|floral;1500–1900 msnm
159;Rincón Andina 159;Perú;Castillo;molido;chocolate|nuez|vainilla;1600–2000 msnm
160;Brisa del Sol 160;Nicaragua;Villalobos;cápsula;floral|jazmín|cítrico;1500–1900 msnm
161;Mirador Dorada 161;Perú;Geisha;grano;terroso|especias|chocolate;1300–1600 msnm
162;Reserva Encantada 162;Guatemala;Villalobos;molido;cítrico|floral|miel;1500–1900 msnm
163;Selva del Volcán 163;El Salvador;Caturra;grano;chocolate|nuez|vainilla;1000–1400 msnm
164;Corazón del Mundo 164;Honduras;Bourbon;grano;terroso|especias|chocolate;1600–2000 msnm
165;Cedro del Camino 165;México;Pacamara;grano;terroso|especias|chocolate;1400–1800 msnm
166;Sol del Mundo 166;Colombia;Maragogipe;cápsula;caramelo|nuez|chocolate;1200–1500 msnm
167;Trueno del Paraíso 167;El Salvador;Geisha;grano;frutal|caramelo|vino tinto;1600–2000 msnm
168;Joya Nevada 168;Nicaragua;Caturra;grano;cítrico|floral|miel;900–1200 msnm
169;Mirador del Trópico 169;Honduras;Caturra;molido;floral|té negro|frutal;1200–1500 msnm
170;Leyenda Nevada 170;Ecuador;Maragogipe;cápsula;frutal|caramelo|vino tinto;1700–2100 msnm
171;Brisa del Trueno 171;Bolivia;Castillo;molido;frutal|miel|cítrico;1400–1800 msnm
172;Valle del Volcán 172;Nicaragua;Bourbon;cápsula;frutal|chocolate|floral;1400–1800 msnm
173;Horizonte del Bosque 173;Costa Rica;Villalobos;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
174;Joya del Nevado 174;Costa Rica;Catuai;grano;frutal|chocolate|floral;1300–1600 msnm
175;Sierra del Café Especial 175;Honduras;Mundo Novo;cápsula;frutal|miel|cítrico;1300–1600 msnm
176;Granito del Oro 176;Colombia;Caturra;grano;cítrico|floral|miel;1500–1900 msnm
177;Tesoro del Encanto 177;Perú;Caturra;cápsula;frutal|miel|cítrico;1600–2000 msnm
178;Nube del Maíz 178;Perú;Catuai;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
179;Mística Verde 179;Guatemala;Catuai;molido;floral|té negro|frutal;1200–1500 msnm
180;Cedro del Horizonte Dorado 180;Colombia;Bourbon;cápsula;terroso|especias|chocolate;1000–1400 msnm
181;Cedro del Corazón 181;México;Pacamara;grano;caramelo|nuez|chocolate;1200–1500 msnm
182;Trueno del Sol 182;México;Catuai;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
183;Brisa del Tesoro 183;Ecuador;Villalobos;cápsula;frutal|chocolate|floral;1300–1600 msnm
184;Camino del Sur 184;Guatemala;Catuai;cápsula;caramelo|nuez|chocolate;1300–1600 msnm
185;Raíces del Ande 185;México;Villalobos;grano;frutal|chocolate|floral;1000–1400 msnm
186;Valle Dorada 186;Costa Rica;Villalobos;molido;caramelo|nuez|chocolate;1200–1500 msnm
187;Rayo del Alba 187;Guatemala;Villalobos;molido;caramelo|nuez|chocolate;1300–1600 msnm
188;Esencia del Espíritu 188;El Salvador;Bourbon;grano;floral|jazmín|cítrico;1700–2100 msnm
189;Cacao del Café 189;Ecuador;Maragogipe;molido;chocolate|nuez|vainilla;900–1200 msnm
190;Luz del Mar 190;Nicaragua;Caturra;grano;panela|frutal|cacao;1700–2100 msnm
191;Brisa del Jaguar 191;Bolivia;Geisha;cápsula;floral|té negro|frutal;1000–1400 msnm
192;Travesía del Horizonte Azul 192;Nicaragua;Villalobos;molido;frutal|miel|cítrico;1500–1900 msnm
193;Joya Tropical 193;Costa Rica;Caturra;grano;frutal|caramelo|vino tinto;1700–2100 msnm
194;Alma del Ande 194;Honduras;Villalobos;grano;chocolate|nuez|vainilla;1500–1900 msnm
195;Altura del Oro 195;Perú;Bourbon;cápsula;terroso|especias|chocolate;1700–2100 msnm
196;Joya del Río 196;Brasil;Maragogipe;molido;floral|té negro|frutal;1200–1500 msnm
197;Cosecha del Bosque Alto 197;Bolivia;Bourbon;molido;panela|frutal|cacao;1500–1900 msnm
198;Travesía del Trueno 198;Costa Rica;Typica;grano;chocolate|nuez|vainilla;1400–1800 msnm
199;Corazón Dorada 199;Colombia;Catuai;cápsula;terroso|especias|chocolate;1400–1800 msnm
200;Corazón del Camino 200;Nicaragua;Villalobos;molido;floral|jazmín|cítrico;1700–2100 msnm
201;Cacao del Lago 201;Bolivia;Typica;grano;terroso|especias|chocolate;1600–2000 msnm
202;Montaña del Corazón 202;Brasil;Typica;grano;floral|jazmín|cítrico;1500–1900 msnm
203;Jaguar del Camino 203;Brasil;Pacamara;grano;caramelo|nuez|chocolate;1000–1400 msnm
204;Luz del Río 204;Nicaragua;Caturra;grano;frutal|caramelo|vino tinto;1400–1800 msnm
205;Flor del Viento 205;Nicaragua;Mundo Novo;cápsula;panela|frutal|cacao;1200–1500 msnm
206;Río Nevada 206;Honduras;Bourbon;molido;frutal|chocolate|floral;1600–2000 msnm
207;Montaña del Río Grande 207;Honduras;Geisha;molido;frutal|miel|cítrico;1700–2100 msnm
208;Cascada Verde 208;Ecuador;Typica;grano;cítrico|floral|miel;1700–2100 msnm
209;Cascada del Cacao 209;Bolivia;Castillo;grano;cítrico|floral|miel;1400–1800 msnm
210;Montaña del Espíritu 210;Nicaragua;Mundo Novo;cápsula;cítrico|floral|miel;1200–1500 msnm
211;Quetzal del Horizonte 211;Colombia;Geisha;grano;frutal|miel|cítrico;1000–1400 msnm
212;Luz del Sol 212;Honduras;Castillo;cápsula;panela|frutal|cacao;1700–2100 msnm
213;Reserva del Mar 213;El Salvador;Caturra;molido;panela|frutal|cacao;1700–2100 msnm
214;Montaña Real 214;El Salvador;Typica;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
215;Camino del Bosque 215;Colombia;Mundo Novo;molido;terroso|especias|chocolate;1400–1800 msnm
216;Sendero del Horizonte Azul 216;Costa Rica;Geisha;molido;caramelo|nuez|chocolate;900–1200 msnm
217;Altura Verde 217;Brasil;Catuai;grano;floral|té negro|frutal;900–1200 msnm
218;Vereda del Valle Sagrado 218;Colombia;Castillo;grano;frutal|chocolate|floral;1000–1400 msnm
219;Aroma del Espíritu 219;Ecuador;Catuai;grano;panela|frutal|cacao;1700–2100 msnm
220;Ceiba del Paraíso 220;Nicaragua;Villalobos;grano;cítrico|floral|miel;1400–1800 msnm
221;Travesía del Valle Sagrado 221;México;Villalobos;cápsula;panela|frutal|cacao;1500–1900 msnm
222;Camino del Café Especial 222;México;Mundo Novo;molido;panela|frutal|cacao;1200–1500 msnm
223;Mística del Horizonte 223;El Salvador;Pacamara;grano;floral|té negro|frutal;1500–1900 msnm
224;Cascada del Café 224;Bolivia;Caturra;molido;floral|jazmín|cítrico;1700–2100 msnm
225;Aurora del Río Grande 225;Colombia;Castillo;grano;floral|jazmín|cítrico;900–1200 msnm
226;Selva del Amanecer 226;El Salvador;Villalobos;molido;frutal|miel|cítrico;1700–2100 msnm
227;Travesía del Encanto 227;Colombia;Maragogipe;grano;floral|jazmín|cítrico;1700–2100 msnm
228;Guacamayo del Valle Sagrado 228;Brasil;Villalobos;molido;terroso|especias|chocolate;1400–1800 msnm
229;Altura del Sol 229;Perú;Bourbon;grano;terroso|especias|chocolate;900–1200 msnm
230;Flor del Volcán 230;México;Bourbon;cápsula;caramelo|nuez|chocolate;1000–1400 msnm
231;Vereda del Mundo 231;Guatemala;Castillo;cápsula;caramelo|nuez|chocolate;1500–1900 msnm
232;Luz del Alba 232;Nicaragua;Caturra;cápsula;panela|frutal|cacao;1500–1900 msnm
233;Sendero Real 233;Honduras;Caturra;grano;caramelo|nuez|chocolate;900–1200 msnm
234;Rayo del Paraíso 234;El Salvador;Typica;cápsula;frutal|miel|cítrico;1200–1500 msnm
235;Joya del Jaguar 235;Guatemala;Geisha;grano;floral|té negro|frutal;1400–1800 msnm
236;Vereda Nevada 236;Ecuador;Typica;cápsula;terroso|especias|chocolate;1300–1600 msnm
237;Fuente del Nevado 237;Colombia;Caturra;grano;panela|frutal|cacao;1200–1500 msnm
238;Altura del Café 238;Nicaragua;Catuai;grano;terroso|especias|chocolate;1300–1600 msnm
239;Sierra del Cacao 239;Ecuador;Typica;grano;frutal|miel|cítrico;1400–1800 msnm
240;Altura del Alba 240;Bolivia;Geisha;cápsula;frutal|miel|cítrico;1500–1900 msnm
241;Selva del Tesoro 241;Bolivia;Castillo;cápsula;frutal|caramelo|vino tinto;1700–2100 msnm
242;Rayo Clásica 242;México;Villalobos;molido;frutal|caramelo|vino tinto;1500–1900 msnm
243;Travesía Mística 243;Costa Rica;Castillo;cápsula;frutal|caramelo|vino tinto;1000–1400 msnm
244;Colibrí del Cacao 244;Costa Rica;Geisha;grano;cítrico|floral|miel;1200–1500 msnm
245;Joya del Oro 245;Nicaragua;Mundo Novo;molido;frutal|caramelo|vino tinto;1500–1900 msnm
246;Corazón Verde 246;Guatemala;Catuai;grano;frutal|caramelo|vino tinto;1400–1800 msnm
247;Ceiba del Valle 247;Brasil;Pacamara;grano;frutal|miel|cítrico;1600–2000 msnm
248;Brisa del Oeste 248;Ecuador;Maragogipe;grano;cítrico|floral|miel;1000–1400 msnm
249;Sendero Andina 249;Costa Rica;Maragogipe;molido;cítrico|floral|miel;1500–1900 msnm
250;Sierra Real 250;Guatemala;Bourbon;grano;frutal|caramelo|vino tinto;1700–2100 msnm
251;Brisa del Viento 251;El Salvador;Mundo Novo;grano;frutal|miel|cítrico;1400–1800 msnm
252;Jaguar del Corazón 252;Ecuador;Bourbon;grano;panela|frutal|cacao;1700–2100 msnm
253;Ceiba del Mundo 253;Honduras;Villalobos;grano;chocolate|nuez|vainilla;1300–1600 msnm
254;Reserva Mística 254;Costa Rica;Typica;molido;panela|frutal|cacao;1600–2000 msnm
255;Encanto Mística 255;Bolivia;Bourbon;cápsula;terroso|especias|chocolate;1400–1800 msnm
256;Rayo del Bosque Alto 256;México;Typica;molido;terroso|especias|chocolate;1200–1500 msnm
257;Selva del Lago 257;Brasil;Bourbon;cápsula;panela|frutal|cacao;1200–1500 msnm
258;Cedro Verde 258;Honduras;Caturra;molido;chocolate|nuez|vainilla;1600–2000 msnm
259;Alma del Nevado 259;Costa Rica;Mundo Novo;grano;frutal|miel|cítrico;1400–1800 msnm
260;Fuego Dorada 260;Colombia;Villalobos;molido;frutal|miel|cítrico;900–1200 msnm
261;Cacao del Este 261;Colombia;Mundo Novo;cápsula;floral|jazmín|cítrico;1500–1900 msnm
262;Aroma del Sol 262;Bolivia;Bourbon;molido;cítrico|floral|miel;1400–1800 msnm
263;Rincón Mística 263;Ecuador;Castillo;molido;frutal|caramelo|vino tinto;1200–1500 msnm
264;Tesoro del Oeste 264;Perú;Catuai;grano;frutal|caramelo|vino tinto;1400–1800 msnm
265;Mirador del Café Especial 265;México;Typica;molido;frutal|caramelo|vino tinto;1000–1400 msnm
266;Guacamayo del Oro 266;Brasil;Caturra;molido;frutal|caramelo|vino tinto;1200–1500 msnm
267;Rayo del Sol 267;México;Geisha;grano;chocolate|nuez|vainilla;1200–1500 msnm
268;Flor del Espíritu 268;Bolivia;Villalobos;cápsula;floral|jazmín|cítrico;1000–1400 msnm
269;Fuente del Encanto 269;Perú;Bourbon;molido;frutal|caramelo|vino tinto;1500–1900 msnm
270;Nube del Sur 270;Colombia;Typica;grano;terroso|especias|chocolate;1600–2000 msnm
271;Rayo del Trópico 271;Colombia;Maragogipe;cápsula;frutal|miel|cítrico;1500–1900 msnm
272;Leyenda del Río 272;Brasil;Castillo;molido;cítrico|floral|miel;900–1200 msnm
273;Travesía del Valle 273;Guatemala;Castillo;molido;terroso|especias|chocolate;1400–1800 msnm
