cafeteria_id;hora_apertura;hora_cierre;dias_abre
74;09:00;11:00;Lunes-Viernes
75;00:00;24:00;Lunes-Sábado
76;05:00;07:00;Lunes-Sábado
77;22:00;23:00;Lunes-Sábado
78;06:00;07:00;Lunes-Sábado
79;00:00;24:00;Lunes-Sábado
80;10:00;11:00;Lunes-Viernes
81;18:00;20:00;Lunes-Viernes
82;06:00;07:00;Lunes-Viernes
83;15:00;16:00;Lunes-Domingo
84;03:00;06:00;Lunes-Sábado
85;10:00;12:00;Lunes-Sábado
86;11:00;12:00;Lunes-Sábado
87;19:00;22:00;Lunes-Sábado
88;11:00;13:00;Lunes-Viernes
89;02:00;06:00;Lunes-Sábado
90;19:00;20:00;Lunes-Viernes
91;10:00;12:00;Lunes-Viernes
92;13:00;14:00;Lunes-Domingo
93;15:00;17:00;Lunes-Viernes
94;23:00;24:00;Lunes-Domingo
95;10:00;12:00;Lunes-Domingo
96;11:00;12:00;Lunes-Sábado
97;05:00;07:00;Lunes-Sábado
98;13:00;15:00;Lunes-Viernes
99;00:00;24:00;Lunes-Domingo
100;15:00;16:00;Lunes-Domingo
101;11:00;12:00;Lunes-Domingo
102;05:00;06:00;Lunes-Domingo
103;05:00;07:00;Lunes-Sábado
104;21:00;24:00;Lunes-Sábado
105;10:00;12:00;Lunes-Viernes
106;13:00;15:00;Lunes-Viernes
107;02:00;03:00;Lunes-Domingo
108;12:00;17:00;Lunes-Sábado
109;07:00;09:00;Lunes-Domingo
110;07:00;12:00;Lunes-Domingo
111;10:00;11:00;Lunes-Sábado
112;10:00;11:00;Lunes-Domingo
113;13:00;16:00;Lunes-Domingo
114;22:00;24:00;Lunes-Domingo
115;02:00;05:00;Lunes-Sábado
116;09:00;10:00;Lunes-Viernes
117;10:00;12:00;Lunes-Domingo
118;04:00;05:00;Lunes-Domingo
119;20:00;21:00;Lunes-Sábado
120;06:00;07:00;Lunes-Sábado
121;04:00;06:00;Lunes-Sábado
122;06:00;07:00;Lunes-Sábado
123;09:00;12:00;Lunes-Domingo
124;14:00;15:00;Lunes-Domingo
125;18:00;21:00;Lunes-Viernes
126;23:00;24:00;Lunes-Domingo
127;15:00;16:00;Lunes-Domingo
128;18:00;20:00;Lunes-Sábado
129;19:00;21:00;Lunes-Sábado
130;12:00;16:00;Lunes-Sábado
131;19:00;23:00;Lunes-Sábado
132;04:00;07:00;Lunes-Domingo
133;19:00;20:00;Lunes-Sábado
134;00:00;24:00;Lunes-Viernes
135;16:00;17:00;Lunes-Viernes
136;17:00;20:00;Lunes-Viernes
137;10:00;12:00;Lunes-Viernes
138;00:00;06:00;Lunes-Sábado
139;08:00;09:00;Lunes-Viernes
140;08:00;10:00;Lunes-Domingo
141;00:00;01:00;Lunes-Viernes
142;17:00;23:00;Lunes-Domingo
143;15:00;16:00;Lunes-Sábado
144;18:00;19:00;Lunes-Sábado
145;15:00;16:00;Lunes-Viernes
146;17:00;20:00;Lunes-Sábado
147;08:00;13:00;Lunes-Domingo
148;10:00;12:00;Lunes-Domingo
149;11:00;12:00;Lunes-Domingo
150;09:00;10:00;Lunes-Domingo
151;11:00;12:00;Lunes-Domingo
152;11:00;13:00;Lunes-Sábado
153;02:00;06:00;Lunes-Sábado
154;16:00;17:00;Lunes-Sábado
155;20:00;22:00;Lunes-Domingo
156;04:00;06:00;Lunes-Viernes
157;02:00;07:00;Lunes-Viernes
158;12:00;14:00;Lunes-Viernes
159;06:00;07:00;Lunes-Domingo
160;00:00;04:00;Lunes-Sábado
161;03:00;04:00;Lunes-Sábado
162;12:00;14:00;Lunes-Domingo
163;08:00;10:00;Lunes-Viernes
164;02:00;04:00;Lunes-Viernes
165;08:00;12:00;Lunes-Viernes
166;00:00;24:00;Lunes-Domingo
167;12:00;14:00;Lunes-Viernes
168;20:00;23:00;Lunes-Sábado
169;06:00;07:00;Lunes-Viernes
170;23:00;24:00;Lunes-Viernes
171;19:00;21:00;Lunes-Sábado
172;00:00;24:00;Lunes-Domingo
173;00:00;01:00;Lunes-Viernes
174;09:00;12:00;Lunes-Viernes
175;06:00;07:00;Lunes-Sábado
176;07:00;08:00;Lunes-Sábado
177;10:00;11:00;Lunes-Sábado
178;04:00;05:00;Lunes-Domingo
179;19:00;20:00;Lunes-Viernes
180;00:00;24:00;Lunes-Domingo
181;06:00;07:00;Lunes-Domingo
182;14:00;17:00;Lunes-Viernes
183;10:00;11:00;Lunes-Domingo
184;15:00;16:00;Lunes-Domingo
185;08:00;11:00;Lunes-Sábado
186;09:00;10:00;Lunes-Sábado
187;22:00;24:00;Lunes-Viernes
188;00:00;02:00;Lunes-Domingo
189;00:00;03:00;Lunes-Viernes
190;20:00;24:00;Lunes-Sábado
191;11:00;15:00;Lunes-Sábado
192;12:00;15:00;Lunes-Viernes
193;08:00;13:00;Lunes-Viernes
194;20:00;23:00;Lunes-Domingo
195;14:00;15:00;Lunes-Domingo
196;03:00;07:00;Lunes-Domingo
197;21:00;22:00;Lunes-Sábado
198;08:00;09:00;Lunes-Sábado
199;09:00;11:00;Lunes-Sábado
200;08:00;10:00;Lunes-Sábado
201;20:00;21:00;Lunes-Viernes
202;15:00;19:00;Lunes-Viernes
203;11:00;12:00;Lunes-Sábado
204;18:00;21:00;Lunes-Viernes
205;02:00;07:00;Lunes-Domingo
206;20:00;22:00;Lunes-Sábado
207;13:00;14:00;Lunes-Domingo
208;18:00;21:00;Lunes-Viernes
209;20:00;21:00;Lunes-Viernes
210;19:00;20:00;Lunes-Sábado
211;19:00;20:00;Lunes-Sábado
212;00:00;02:00;Lunes-Domingo
213;16:00;19:00;Lunes-Viernes
214;10:00;12:00;Lunes-Domingo
215;16:00;17:00;Lunes-Viernes
216;00:00;24:00;Lunes-Sábado
217;11:00;12:00;Lunes-Sábado
218;20:00;21:00;Lunes-Sábado
219;08:00;09:00;Lunes-Sábado
220;15:00;16:00;Lunes-Sábado
221;22:00;24:00;Lunes-Sábado
222;11:00;12:00;Lunes-Viernes
223;13:00;17:00;Lunes-Sábado
224;12:00;16:00;Lunes-Sábado
225;23:00;24:00;Lunes-Viernes
226;06:00;07:00;Lunes-Domingo
227;00:00;24:00;Lunes-Sábado
228;13:00;16:00;Lunes-Domingo
229;08:00;11:00;Lunes-Viernes
230;06:00;07:00;Lunes-Domingo
231;13:00;16:00;Lunes-Domingo
232;17:00;20:00;Lunes-Domingo
233;19:00;24:00;Lunes-Domingo
234;22:00;23:00;Lunes-Sábado
235;11:00;16:00;Lunes-Domingo
236;07:00;10:00;Lunes-Viernes
237;00:00;05:00;Lunes-Domingo
238;12:00;15:00;Lunes-Domingo
239;04:00;06:00;Lunes-Domingo
240;09:00;11:00;Lunes-Viernes
241;08:00;09:00;Lunes-Sábado
242;06:00;07:00;Lunes-Viernes
243;15:00;17:00;Lunes-Sábado
244;19:00;20:00;Lunes-Sábado
245;00:00;24:00;Lunes-Viernes
246;09:00;10:00;Lunes-Viernes
247;17:00;23:00;Lunes-Sábado
248;17:00;19:00;Lunes-Sábado
249;23:00;24:00;Lunes-Domingo
250;11:00;13:00;Lunes-Domingo
251;16:00;17:00;Lunes-Sábado
252;13:00;14:00;Lunes-Domingo
253;19:00;21:00;Lunes-Domingo
254;14:00;15:00;Lunes-Sábado
255;00:00;24:00;Lunes-Sábado
256;07:00;13:00;Lunes-Viernes
257;13:00;14:00;Lunes-Domingo
258;23:00;24:00;Lunes-Viernes
259;08:00;12:00;Lunes-Sábado
260;01:00;07:00;Lunes-Sábado
261;13:00;15:00;Lunes-Domingo
262;20:00;21:00;Lunes-Domingo
263;16:00;18:00;Lunes-Sábado
264;04:00;07:00;Lunes-Domingo
265;09:00;12:00;Lunes-Viernes
266;00:00;03:00;Lunes-Domingo
267;13:00;14:00;Lunes-Viernes
268;17:00;23:00;Lunes-Domingo
269;23:00;24:00;Lunes-Viernes
270;10:00;13:00;Lunes-Sábado
271;05:00;06:00;Lunes-Sábado
272;15:00;16:00;Lunes-Viernes
273;19:00;21:00;Lunes-Domingo
274;23:00;24:00;Lunes-Sábado
275;00:00;24:00;Lunes-Viernes
276;11:00;12:00;Lunes-Domingo
277;13:00;15:00;Lunes-Sábado
278;16:00;17:00;Lunes-Domingo
279;08:00;12:00;Lunes-Viernes
280;18:00;24:00;Lunes-Domingo
281;08:00;10:00;Lunes-Viernes
282;01:00;03:00;Lunes-Sábado
283;00:00;24:00;Lunes-Sábado
284;00:00;24:00;Lunes-Sábado
285;22:00;24:00;Lunes-Sábado
286;04:00;05:00;Lunes-Domingo
287;00:00;24:00;Lunes-Sábado
288;20:00;21:00;Lunes-Sábado
289;13:00;16:00;Lunes-Sábado
290;05:00;06:00;Lunes-Sábado
291;09:00;12:00;Lunes-Viernes
292;00:00;02:00;Lunes-Viernes
293;18:00;22:00;Lunes-Viernes
294;13:00;15:00;Lunes-Viernes
295;18:00;23:00;Lunes-Sábado
296;18:00;19:00;Lunes-Viernes
297;08:00;12:00;Lunes-Domingo
298;05:00;06:00;Lunes-Domingo
299;10:00;15:00;Lunes-Domingo
300;14:00;15:00;Lunes-Sábado
301;15:00;16:00;Lunes-Sábado
302;06:00;07:00;Lunes-Sábado
303;20:00;22:00;Lunes-Sábado
304;13:00;17:00;Lunes-Sábado
305;11:00;12:00;Lunes-Sábado
306;15:00;16:00;Lunes-Sábado
307;22:00;23:00;Lunes-Viernes
308;20:00;21:00;Lunes-Sábado
309;15:00;16:00;Lunes-Viernes
310;12:00;16:00;Lunes-Sábado
311;00:00;02:00;Lunes-Viernes
312;00:00;24:00;Lunes-Sábado
313;12:00;13:00;Lunes-Viernes
314;18:00;23:00;Lunes-Domingo
315;01:00;04:00;Lunes-Domingo
316;16:00;17:00;Lunes-Viernes
317;12:00;17:00;Lunes-Sábado
318;20:00;22:00;Lunes-Viernes
319;15:00;16:00;Lunes-Domingo
320;16:00;17:00;Lunes-Viernes
321;19:00;21:00;Lunes-Viernes
322;12:00;15:00;Lunes-Sábado
323;17:00;18:00;Lunes-Viernes
324;11:00;13:00;Lunes-Sábado
325;22:00;23:00;Lunes-Domingo
326;06:00;07:00;Lunes-Viernes
327;22:00;24:00;Lunes-Viernes
328;19:00;21:00;Lunes-Domingo
329;12:00;13:00;Lunes-Domingo
330;00:00;24:00;Lunes-Domingo
331;13:00;16:00;Lunes-Domingo
332;10:00;12:00;Lunes-Sábado
333;09:00;10:00;Lunes-Viernes
334;04:00;07:00;Lunes-Domingo
335;15:00;17:00;Lunes-Sábado
336;22:00;24:00;Lunes-Viernes
337;13:00;15:00;Lunes-Sábado
338;00:00;24:00;Lunes-Viernes
339;20:00;23:00;Lunes-Viernes
340;07:00;11:00;Lunes-Viernes
341;16:00;17:00;Lunes-Viernes
342;22:00;23:00;Lunes-Viernes
343;09:00;10:00;Lunes-Sábado
344;01:00;07:00;Lunes-Viernes
345;14:00;17:00;Lunes-Domingo
346;01:00;05:00;Lunes-Viernes
347;17:00;20:00;Lunes-Sábado
348;14:00;17:00;Lunes-Sábado
349;05:00;07:00;Lunes-Viernes
350;02:00;06:00;Lunes-Sábado
351;10:00;12:00;Lunes-Domingo
352;08:00;11:00;Lunes-Viernes
353;05:00;06:00;Lunes-Domingo
354;19:00;21:00;Lunes-Domingo
355;15:00;17:00;Lunes-Viernes
356;03:00;04:00;Lunes-Domingo
357;12:00;17:00;Lunes-Viernes
358;18:00;23:00;Lunes-Viernes
359;00:00;24:00;Lunes-Domingo
360;12:00;14:00;Lunes-Viernes
361;17:00;21:00;Lunes-Sábado
362;14:00;17:00;Lunes-Sábado
363;07:00;12:00;Lunes-Sábado
364;09:00;12:00;Lunes-Sábado
365;16:00;18:00;Lunes-Domingo
366;20:00;21:00;Lunes-Sábado
367;01:00;03:00;Lunes-Domingo
368;12:00;14:00;Lunes-Domingo
369;19:00;20:00;Lunes-Sábado
370;09:00;10:00;Lunes-Domingo
371;09:00;11:00;Lunes-Sábado
372;11:00;12:00;Lunes-Viernes
373;13:00;15:00;Lunes-Domingo
374;17:00;20:00;Lunes-Sábado
375;11:00;12:00;Lunes-Viernes
376;21:00;22:00;Lunes-Domingo
377;09:00;11:00;Lunes-Domingo
378;16:00;17:00;Lunes-Domingo
379;14:00;15:00;Lunes-Viernes
380;00:00;24:00;Lunes-Domingo
381;00:00;06:00;Lunes-Sábado
382;16:00;20:00;Lunes-Sábado
383;04:00;06:00;Lunes-Viernes
384;14:00;17:00;Lunes-Sábado
385;18:00;19:00;Lunes-Sábado
386;12:00;13:00;Lunes-Viernes
387;22:00;23:00;Lunes-Domingo
388;02:00;05:00;Lunes-Viernes
389;08:00;12:00;Lunes-Sábado
390;22:00;24:00;Lunes-Viernes
391;14:00;16:00;Lunes-Domingo
392;16:00;17:00;Lunes-Domingo
393;11:00;16:00;Lunes-Viernes
394;16:00;19:00;Lunes-Domingo
395;20:00;21:00;Lunes-Domingo
396;14:00;16:00;Lunes-Sábado
397;12:00;17:00;Lunes-Domingo
398;18:00;19:00;Lunes-Domingo
399;11:00;12:00;Lunes-Sábado
400;09:00;11:00;Lunes-Viernes
401;08:00;09:00;Lunes-Viernes
402;14:00;15:00;Lunes-Viernes
403;17:00;20:00;Lunes-Viernes
404;02:00;04:00;Lunes-Sábado
405;01:00;05:00;Lunes-Viernes
406;17:00;20:00;Lunes-Sábado
407;06:00;07:00;Lunes-Sábado
408;16:00;17:00;Lunes-Viernes
409;00:00;24:00;Lunes-Domingo
410;07:00;11:00;Lunes-Domingo
411;14:00;17:00;Lunes-Domingo
412;16:00;17:00;Lunes-Viernes
413;18:00;19:00;Lunes-Domingo
414;13:00;14:00;Lunes-Sábado
415;19:00;21:00;Lunes-Domingo
416;01:00;02:00;Lunes-Sábado
417;12:00;17:00;Lunes-Sábado
418;14:00;15:00;Lunes-Domingo
419;10:00;12:00;Lunes-Viernes
420;17:00;18:00;Lunes-Sábado
421;20:00;23:00;Lunes-Sábado
422;20:00;21:00;Lunes-Domingo
423;15:00;16:00;Lunes-Sábado
424;10:00;14:00;Lunes-Domingo
425;11:00;12:00;Lunes-Sábado
426;14:00;15:00;Lunes-Viernes
427;18:00;23:00;Lunes-Viernes
428;00:00;24:00;Lunes-Sábado
429;04:00;05:00;Lunes-Viernes
430;18:00;19:00;Lunes-Sábado
431;04:00;05:00;Lunes-Sábado
432;08:00;11:00;Lunes-Viernes
433;11:00;12:00;Lunes-Sábado
434;23:00;24:00;Lunes-Viernes
435;07:00;13:00;Lunes-Viernes
436;06:00;07:00;Lunes-Viernes
437;01:00;07:00;Lunes-Domingo
438;19:00;21:00;Lunes-Sábado
439;23:00;24:00;Lunes-Domingo
440;18:00;19:00;Lunes-Sábado
441;02:00;07:00;Lunes-Domingo
442;14:00;15:00;Lunes-Sábado
443;23:00;24:00;Lunes-Domingo
444;00:00;04:00;Lunes-Sábado
445;18:00;19:00;Lunes-Viernes
446;06:00;07:00;Lunes-Sábado
447;12:00;17:00;Lunes-Viernes
448;18:00;24:00;Lunes-Sábado
449;08:00;12:00;Lunes-Domingo
450;10:00;11:00;Lunes-Viernes
451;17:00;20:00;Lunes-Sábado
452;03:00;07:00;Lunes-Domingo
453;23:00;24:00;Lunes-Sábado
454;00:00;05:00;Lunes-Domingo
455;00:00;24:00;Lunes-Domingo
456;13:00;14:00;Lunes-Domingo
457;19:00;20:00;Lunes-Domingo
458;00:00;24:00;Lunes-Sábado
459;06:00;07:00;Lunes-Viernes
460;11:00;12:00;Lunes-Sábado
461;21:00;22:00;Lunes-Sábado
462;19:00;22:00;Lunes-Domingo
463;08:00;09:00;Lunes-Viernes
464;06:00;07:00;Lunes-Domingo
465;11:00;16:00;Lunes-Domingo
466;21:00;22:00;Lunes-Sábado
467;20:00;23:00;Lunes-Viernes
468;21:00;22:00;Lunes-Domingo
469;02:00;05:00;Lunes-Domingo
470;13:00;15:00;Lunes-Sábado
471;16:00;17:00;Lunes-Sábado
472;22:00;23:00;Lunes-Viernes
473;04:00;06:00;Lunes-Viernes
474;20:00;21:00;Lunes-Viernes
475;00:00;24:00;Lunes-Viernes
476;20:00;23:00;Lunes-Sábado
477;11:00;12:00;Lunes-Domingo
478;00:00;24:00;Lunes-Sábado
479;16:00;17:00;Lunes-Sábado
480;16:00;17:00;Lunes-Viernes
481;10:00;11:00;Lunes-Domingo
482;17:00;23:00;Lunes-Sábado
483;09:00;11:00;Lunes-Sábado
484;14:00;15:00;Lunes-Viernes
485;10:00;11:00;Lunes-Viernes
486;09:00;10:00;Lunes-Sábado
487;10:00;11:00;Lunes-Sábado
488;02:00;07:00;Lunes-Domingo
489;18:00;24:00;Lunes-Domingo
490;13:00;14:00;Lunes-Sábado
491;00:00;24:00;Lunes-Viernes
492;09:00;10:00;Lunes-Viernes
493;23:00;24:00;Lunes-Sábado
494;12:00;17:00;Lunes-Viernes
495;09:00;12:00;Lunes-Viernes
496;13:00;15:00;Lunes-Viernes
497;05:00;06:00;Lunes-Domingo
498;14:00;15:00;Lunes-Sábado
499;15:00;16:00;Lunes-Viernes
500;08:00;10:00;Lunes-Sábado
501;09:00;11:00;Lunes-Domingo
502;09:00;12:00;Lunes-Viernes
503;13:00;16:00;Lunes-Sábado
504;12:00;17:00;Lunes-Viernes
505;16:00;17:00;Lunes-Sábado
506;14:00;15:00;Lunes-Viernes
507;19:00;20:00;Lunes-Sábado
508;00:00;24:00;Lunes-Domingo
509;04:00;07:00;Lunes-Viernes
510;16:00;17:00;Lunes-Viernes
511;10:00;11:00;Lunes-Domingo
512;16:00;20:00;Lunes-Domingo
513;08:00;09:00;Lunes-Sábado
514;19:00;20:00;Lunes-Sábado
515;19:00;24:00;Lunes-Viernes
516;21:00;22:00;Lunes-Viernes
517;16:00;17:00;Lunes-Sábado
518;15:00;17:00;Lunes-Sábado
519;13:00;18:00;Lunes-Viernes
520;04:00;06:00;Lunes-Domingo
521;11:00;12:00;Lunes-Viernes
522;15:00;16:00;Lunes-Domingo
523;00:00;02:00;Lunes-Viernes
524;05:00;06:00;Lunes-Sábado
525;15:00;16:00;Lunes-Sábado
526;12:00;13:00;Lunes-Sábado
527;00:00;24:00;Lunes-Sábado
528;09:00;12:00;Lunes-Domingo
529;03:00;05:00;Lunes-Sábado
530;00:00;06:00;Lunes-Domingo
531;17:00;19:00;Lunes-Domingo
532;12:00;14:00;Lunes-Sábado
533;22:00;24:00;Lunes-Sábado
534;10:00;11:00;Lunes-Domingo
535;10:00;11:00;Lunes-Sábado
536;17:00;23:00;Lunes-Viernes
537;20:00;21:00;Lunes-Domingo
538;19:00;21:00;Lunes-Sábado
539;05:00;06:00;Lunes-Domingo
540;16:00;17:00;Lunes-Sábado
541;00:00;24:00;Lunes-Sábado
542;23:00;24:00;Lunes-Domingo
543;19:00;23:00;Lunes-Sábado
544;05:00;07:00;Lunes-Viernes
545;08:00;14:00;Lunes-Sábado
546;10:00;14:00;Lunes-Viernes
547;11:00;12:00;Lunes-Viernes
548;11:00;12:00;Lunes-Domingo
549;12:00;16:00;Lunes-Domingo
550;08:00;11:00;Lunes-Viernes
551;01:00;04:00;Lunes-Sábado
552;11:00;12:00;Lunes-Domingo
553;09:00;12:00;Lunes-Sábado
554;23:00;24:00;Lunes-Viernes
555;08:00;14:00;Lunes-Domingo
556;11:00;12:00;Lunes-Viernes
557;19:00;23:00;Lunes-Viernes
558;14:00;16:00;Lunes-Sábado
559;13:00;16:00;Lunes-Domingo
560;04:00;06:00;Lunes-Sábado
561;20:00;21:00;Lunes-Domingo
562;09:00;15:00;Lunes-Sábado
563;13:00;17:00;Lunes-Viernes
564;05:00;07:00;Lunes-Viernes
565;04:00;07:00;Lunes-Sábado
566;15:00;17:00;Lunes-Viernes
567;23:00;24:00;Lunes-Viernes
568;19:00;23:00;Lunes-Domingo
569;08:00;11:00;Lunes-Sábado
570;19:00;24:00;Lunes-Sábado
571;16:00;17:00;Lunes-Viernes
572;11:00;12:00;Lunes-Viernes
573;08:00;10:00;Lunes-Sábado
574;10:00;12:00;Lunes-Sábado
575;13:00;14:00;Lunes-Sábado
576;17:00;18:00;Lunes-Viernes
577;22:00;23:00;Lunes-Sábado
578;01:00;03:00;Lunes-Sábado
579;17:00;18:00;Lunes-Sábado
580;20:00;24:00;Lunes-Domingo
581;10:00;13:00;Lunes-Domingo
582;14:00;16:00;Lunes-Domingo
583;05:00;07:00;Lunes-Viernes
584;14:00;17:00;Lunes-Domingo
585;13:00;16:00;Lunes-Sábado
586;11:00;12:00;Lunes-Viernes
587;05:00;07:00;Lunes-Domingo
588;20:00;21:00;Lunes-Viernes
589;06:00;07:00;Lunes-Sábado
590;16:00;21:00;Lunes-Viernes
591;14:00;16:00;Lunes-Sábado
592;12:00;14:00;Lunes-Sábado
593;09:00;11:00;Lunes-Sábado
594;11:00;12:00;Lunes-Viernes
595;15:00;16:00;Lunes-Domingo
596;08:00;11:00;Lunes-Viernes
597;00:00;24:00;Lunes-Viernes
598;17:00;21:00;Lunes-Sábado
599;08:00;10:00;Lunes-Viernes
600;21:00;24:00;Lunes-Domingo
601;22:00;24:00;Lunes-Viernes
602;08:00;09:00;Lunes-Viernes
603;15:00;17:00;Lunes-Viernes
604;08:00;09:00;Lunes-Viernes
605;10:00;12:00;Lunes-Domingo
606;04:00;06:00;Lunes-Domingo
607;17:00;20:00;Lunes-Viernes
608;08:00;12:00;Lunes-Domingo
609;11:00;12:00;Lunes-Sábado
610;23:00;24:00;Lunes-Sábado
611;15:00;16:00;Lunes-Viernes
612;15:00;16:00;Lunes-Viernes
613;18:00;19:00;Lunes-Viernes
614;17:00;23:00;Lunes-Domingo
615;13:00;19:00;Lunes-Viernes
616;15:00;16:00;Lunes-Viernes
617;06:00;07:00;Lunes-Domingo
618;01:00;06:00;Lunes-Sábado
619;18:00;24:00;Lunes-Domingo
620;09:00;12:00;Lunes-Domingo
621;05:00;07:00;Lunes-Domingo
622;19:00;20:00;Lunes-Viernes
623;15:00;16:00;Lunes-Sábado
624;18:00;21:00;Lunes-Sábado
625;19:00;21:00;Lunes-Viernes
626;08:00;09:00;Lunes-Domingo
627;10:00;11:00;Lunes-Sábado
628;14:00;19:00;Lunes-Domingo
629;01:00;07:00;Lunes-Viernes
630;21:00;22:00;Lunes-Viernes
631;16:00;17:00;Lunes-Domingo
632;10:00;12:00;Lunes-Viernes
633;10:00;12:00;Lunes-Sábado
634;19:00;23:00;Lunes-Sábado
635;08:00;10:00;Lunes-Domingo
636;06:00;07:00;Lunes-Viernes
637;00:00;04:00;Lunes-Sábado
638;17:00;18:00;Lunes-Domingo
639;00:00;24:00;Lunes-Sábado
640;16:00;17:00;Lunes-Viernes
641;01:00;03:00;Lunes-Sábado
642;17:00;18:00;Lunes-Viernes
643;00:00;06:00;Lunes-Sábado
644;21:00;22:00;Lunes-Viernes
645;20:00;24:00;Lunes-Sábado
646;04:00;07:00;Lunes-Domingo
647;09:00;11:00;Lunes-Viernes
648;11:00;12:00;Lunes-Domingo
649;15:00;16:00;Lunes-Sábado
650;02:00;04:00;Lunes-Viernes
651;12:00;13:00;Lunes-Sábado
652;21:00;22:00;Lunes-Viernes
653;17:00;22:00;Lunes-Sábado
654;15:00;16:00;Lunes-Domingo
655;15:00;16:00;Lunes-Sábado
656;20:00;22:00;Lunes-Domingo
657;17:00;20:00;Lunes-Sábado
658;19:00;20:00;Lunes-Viernes
659;15:00;16:00;Lunes-Sábado
660;03:00;06:00;Lunes-Viernes
661;14:00;16:00;Lunes-Viernes
662;23:00;24:00;Lunes-Domingo
663;12:00;17:00;Lunes-Sábado
664;05:00;06:00;Lunes-Domingo
665;20:00;21:00;Lunes-Sábado
666;09:00;10:00;Lunes-Domingo
667;00:00;24:00;Lunes-Sábado
668;00:00;24:00;Lunes-Viernes
669;12:00;18:00;Lunes-Viernes
670;22:00;23:00;Lunes-Viernes
671;18:00;19:00;Lunes-Sábado
672;03:00;04:00;Lunes-Sábado
673;02:00;06:00;Lunes-Sábado
674;06:00;07:00;Lunes-Domingo
675;00:00;04:00;Lunes-Domingo
676;19:00;20:00;Lunes-Viernes
677;10:00;15:00;Lunes-Domingo
678;04:00;06:00;Lunes-Viernes
679;04:00;07:00;Lunes-Viernes
680;13:00;15:00;Lunes-Domingo
681;18:00;22:00;Lunes-Domingo
682;13:00;18:00;Lunes-Viernes
683;14:00;17:00;Lunes-Viernes
684;13:00;16:00;Lunes-Viernes
685;06:00;07:00;Lunes-Viernes
686;10:00;11:00;Lunes-Domingo
687;09:00;10:00;Lunes-Sábado
688;16:00;19:00;Lunes-Sábado
689;22:00;24:00;Lunes-Sábado
690;08:00;12:00;Lunes-Sábado
691;11:00;13:00;Lunes-Sábado
692;08:00;09:00;Lunes-Domingo
693;12:00;15:00;Lunes-Viernes
694;21:00;24:00;Lunes-Domingo
695;06:00;07:00;Lunes-Viernes
696;08:00;14:00;Lunes-Sábado
697;13:00;14:00;Lunes-Domingo
